native_heap_alloc,native_pss,dalvik_heap_alloc,dalvik_pss
6832,32,3831,7622
6833,32,3963,7622
6834,32,4096,7622
6835,32,4226,7622
6835,32,4359,7622
6836,32,4491,7622
6832,32,3617,7622
6834,32,3750,7622
6834,32,3882,7622
6835,32,4012,7626
6836,32,4147,7626
6837,32,4279,7626
6837,32,4414,7626
6833,32,3531,7626
6834,32,3665,7626
6835,32,3798,7626
6836,32,3933,7626
6837,32,4065,7630
6837,32,4198,7630
6839,32,4354,7630
6839,32,4490,7630
6836,32,3618,7634
6837,32,3750,7634
6837,32,3884,7634
6838,32,4014,7634
6839,32,4175,7638
6840,32,4306,7638
6841,32,4440,7638
6837,32,3525,7638
6837,32,3662,7638
6838,32,3793,7638
6839,32,3928,7638
6840,32,4083,7638
6841,32,4216,7638
6842,32,4348,7638
6842,32,4479,7638
6838,32,3588,7642
6839,32,3723,7642
6840,32,3878,7646
6841,32,4012,7646
6842,32,4143,7646
6843,32,4275,7646
6843,32,4407,7646
6844,32,4542,7646
6840,32,3642,7646
6841,32,3801,7646
6842,32,3932,7646
6843,32,4063,7646
6844,32,4194,7646
6844,32,4330,7646
6845,32,4463,7646
6841,32,3585,7646
6842,32,3718,7650
6843,32,3851,7650
6844,32,3983,7650
6845,32,4115,7650
6846,32,4251,7650
6847,32,4407,7650
6847,32,4538,7650
6843,32,3638,7650
6844,32,3766,7650
6845,32,3901,7650
6845,32,4034,7650
6846,32,4192,7650
6847,32,4324,7654
6848,32,4457,7654
6844,32,3552,7654
6845,32,3684,7654
6846,32,3819,7654
6846,32,3951,7654
6852,32,4108,7658
6852,32,4242,7658
6853,32,4370,7658
6854,32,4502,7658
6850,32,3592,7658
6850,32,3726,7658
6851,32,3883,7658
6852,32,4017,7658
6853,32,4149,7658
6854,32,4280,7658
6855,32,4412,7658
6855,32,3516,7658
6851,32,3649,7658
6852,32,3807,7658
6853,32,3939,7658
6854,32,4070,7658
6855,32,4202,7658
6856,32,4337,7658
6856,32,4470,7658
6853,32,3605,7658
6853,32,3738,7662
6854,32,3870,7662
6855,32,3999,7662
6856,32,4132,7662
6856,32,4268,7662
6858,32,4425,7662
6853,32,3515,7662
6854,32,3650,7662
6855,32,3779,7662
6855,32,3913,7662
6856,32,4047,7662
6857,32,4179,7662
6858,32,4337,7662
6859,32,4469,7662
6855,32,3576,7662
6856,32,3708,7662
6856,32,3844,7662
6857,32,3975,7662
6858,32,4131,7662
6859,32,4267,7662
6860,32,4397,7662
6860,32,4527,7662
6856,32,3626,7666
6857,32,3761,7666
6858,32,3916,7666
6859,32,4050,7666
6860,32,4182,7666
6861,32,4313,7666
6862,32,4445,7670
6857,32,3544,7670
6858,32,3679,7670
6859,32,3838,7670
6860,32,3969,7670
6861,32,4100,7670
6862,32,4235,7670
6862,32,4367,7674
6863,32,4504,7674
6859,32,3614,7674
6860,32,3751,7674
6861,32,3880,7674
6861,32,4015,7674
6862,32,4147,7674
6863,32,4280,7678
6864,32,4436,7678
6860,32,3552,7678
6861,32,3681,7678
6862,32,3812,7678
6878,32,3946,7678
6879,32,4081,7678
6880,32,4237,7678
6881,32,4371,7678
6882,32,4503,7678
6877,32,3590,7678
6878,32,3723,7678
6879,32,3858,7678
6880,32,3990,7678
6881,32,4149,7682
6881,32,4280,7682
6882,32,4411,7682
6880,32,3518,7682
6879,32,3652,7682
6880,32,3786,7682
6881,32,3942,7682
6881,32,4076,7686
6882,32,4207,7686
6883,32,4339,7686
6884,32,4472,7686
6880,32,3585,7686
6881,32,3742,7686
6882,32,3872,7686
6882,32,4006,7686
6883,32,4135,7686
6884,32,4269,7686
6885,32,4403,7686
6881,32,3519,7690
6882,32,3650,7690
6882,32,3785,7690
6883,32,3913,7690
6884,32,4048,7690
6885,32,4179,7690
6886,32,4315,7690
6887,32,4470,7690
6883,32,3585,7690
6883,32,3713,7690
6884,32,3847,7690
6885,32,3980,7690
6886,32,4113,7690
6887,32,4269,7690
6888,32,4406,7690
6888,32,4535,7690
6884,32,3634,7690
6885,32,3768,7690
6886,32,3901,7690
6887,32,4058,7690
6888,32,4193,7690
6888,32,4324,7690
6889,32,4454,7694
6885,32,3553,7694
6886,32,3687,7694
6887,32,3822,7694
6888,32,3976,7694
6889,32,4110,7694
6889,32,4239,7694
6890,32,4371,7694
6891,32,4503,7694
6886,32,3594,7694
6888,32,3751,7694
6888,32,3882,7694
6889,32,4016,7694
6890,32,4145,7694
6891,32,4278,7694
6891,32,4413,7694
6887,32,3515,7694
6888,32,3675,7694
6889,32,3806,7694
6890,32,3938,7694
6891,32,4071,7694
6891,32,4204,7694
6892,32,4337,7694
6893,32,4495,7694
6889,32,3604,7694
6890,32,3736,7694
6891,32,3864,7694
6892,32,3999,7694
6892,32,4135,7694
6893,32,4290,7694
6894,32,4424,7694
6895,32,3517,7698
6891,32,3647,7698
6892,32,3780,7698
6893,32,3916,7698
6894,32,4073,7698
6894,32,4206,7698
6895,32,4338,7698
6896,32,4469,7698
6892,32,3580,7698
6893,32,3713,7698
6893,32,3846,7698
6894,32,4003,7698
6895,32,4137,7698
6896,32,4266,7698
6897,32,4396,7698
6897,32,4530,7698
6893,32,3631,7698
6894,32,3786,7698
6895,32,3920,7698
6896,32,4051,7698
6897,32,4184,7698
6898,32,4315,7698
6898,32,4449,7698
6894,32,3549,7698
6895,32,3707,7698
6896,32,3840,7698
6897,32,3969,7698
6898,32,4102,7698
6898,32,4239,7698
6899,32,4375,7698
6900,32,4531,7702
6896,32,3631,7702
6897,32,3760,7702
6898,32,3894,7702
6898,32,4026,7702
6899,32,4159,7702
6900,32,4315,7702
6901,32,4451,7702
6897,32,3545,7702
6898,32,3678,7702
6898,32,3811,7702
6899,32,3944,7702
6900,32,4103,7702
6901,32,4236,7702
6902,32,4369,7702
6903,32,4500,7702
6898,32,3590,7702
6899,32,3725,7702
6900,32,3857,7702
6901,32,4016,7702
6902,32,4147,7702
6902,32,4279,7702
6903,32,4409,7702
6899,32,3515,7702
6900,32,3649,7702
6901,32,3804,7702
6902,32,3940,7702
6902,32,4069,7702
6903,32,4201,7702
6904,32,4335,7702
6905,32,4468,7702
6901,32,3603,7702
6902,32,3737,7702
6903,32,3869,7702
6903,32,3999,7702
6904,32,4133,7702
6905,32,4266,7702
6906,32,4400,7702
6901,32,3517,7702
6902,32,3651,7702
6903,32,3781,7702
6904,32,3913,7702
6905,32,4047,7702
6905,32,4178,7702
6906,32,4334,7702
6907,32,4470,7702
6903,32,3576,7702
6904,32,3708,7702
6905,32,3841,7702
6905,32,3973,7702
6906,32,4133,7702
6907,32,4264,7702
6908,32,4399,7702
6909,32,4527,7702
6905,32,3628,7702
6905,32,3758,7702
6906,32,3895,7702
6907,32,4049,7702
6908,32,4183,7702
6909,32,4314,7702
6910,32,4446,7702
6905,32,3544,7702
6906,32,3679,7702
6907,32,3835,7702
6908,32,3966,7702
6909,32,4100,7702
6910,32,4229,7702
6910,32,4365,7702
6911,32,4497,7702
6907,32,3616,7702
6908,32,3747,7702
6909,32,3881,7702
6909,32,4008,7702
6910,32,4143,7702
6911,32,4275,7702
6912,32,4411,7702
6908,32,3542,7702
6909,32,3676,7702
6909,32,3808,7702
6910,32,3941,7702
6911,32,4075,7702
6912,32,4208,7702
6913,32,4364,7702
6914,32,4498,7702
6909,32,3588,7702
6910,32,3720,7702
6911,32,3854,7702
6912,32,3986,7702
6913,32,4145,7702
6913,32,4276,7702
6914,32,4410,7702
6915,32,3516,7706
6911,32,3650,7706
6912,32,3781,7706
6912,32,3915,7706
6914,32,4070,7706
6914,32,4204,7706
6915,32,4336,7706
6916,32,4468,7706
6912,32,3566,7706
6913,32,3701,7706
6914,32,3857,7706
6916,32,3991,7706
6915,32,4122,7706
6916,32,4254,7706
6917,32,4388,7706
6918,32,4517,7706
6914,32,3645,7706
6914,32,3775,7706
6915,32,3910,7706
6918,32,4040,7706
6917,32,4174,7706
6918,32,4306,7706
6918,32,4441,7706
6914,32,3562,7706
6915,32,3696,7706
6916,32,3825,7706
6917,32,3959,7706
6917,32,4091,7706
6918,32,4224,7706
6919,32,4380,7706
6920,32,4517,7706
6916,32,3613,7706
6917,32,3744,7706
6917,32,3877,7706
6918,32,4014,7706
6919,32,4170,7706
6920,32,4302,7706
6921,32,4434,7706
6916,32,3520,7706
6917,32,3654,7706
6918,32,3788,7706
6919,32,3921,7706
6920,32,4079,7706
6921,32,4210,7706
6921,32,4341,7706
6922,32,4473,7706
6918,32,3583,7706
6919,32,3715,7706
6920,32,3871,7706
6921,32,4007,7706
6921,32,4136,7706
6922,32,4270,7706
6923,32,4403,7706
6924,32,4533,7706
6920,32,3659,7706
6921,32,3792,7706
6921,32,3925,7706
6922,32,4057,7706
6923,32,4189,7706
6924,32,4323,7706
6925,32,4457,7706
6920,32,3580,7706
6921,32,3713,7706
6922,32,3844,7706
6923,32,3975,7706
6924,32,4112,7706
6926,32,4243,7706
6925,32,4400,7706
6926,32,4535,7706
6922,32,3629,7706
6923,32,3760,7706
6924,32,3894,7706
6924,32,4027,7706
6925,32,4185,7706
6926,32,4318,7706
6927,32,4450,7706
6923,32,3547,7706
6924,32,3680,7706
6924,32,3815,7706
6925,32,3946,7706
6926,32,4105,7706
6927,32,4237,7706
6928,32,4368,7706
6929,32,4500,7706
6924,32,3592,7706
6925,32,3724,7706
6926,32,3881,7706
6927,32,4015,7706
6928,32,4143,7706
6928,32,4275,7706
6929,32,4409,7706
6930,32,3517,7706
6926,32,3676,7710
6927,32,3809,7710
6928,32,3942,7710
6928,32,4071,7710
6929,32,4205,7710
6930,32,4335,7710
6931,32,4471,7710
6927,32,3588,7710
6927,32,3721,7710
6928,32,3854,7710
6929,32,3985,7710
6930,32,4118,7710
6930,32,4253,7710
6932,32,4409,7710
6927,32,3516,7710
6928,32,3651,7710
6929,32,3781,7710
6930,32,3912,7710
6931,32,4047,7710
6931,32,4180,7710
6932,32,4338,7710
6933,32,4470,7710
6929,32,3579,7710
6930,32,3710,7710
6931,32,3846,7710
6931,32,3980,7710
6932,32,4137,7710
6933,32,4270,7710
6934,32,4402,7710
6935,32,4537,7710
6931,32,3635,7710
6931,32,3768,7710
6933,32,3925,7710
6933,32,4059,7710
6934,32,4190,7710
6935,32,4322,7710
6936,32,4456,7710
6932,32,3553,7710
6933,32,3713,7710
6934,32,3843,7710
6934,32,3978,7710
6935,32,4105,7710
6936,32,4240,7710
6937,32,4371,7710
6938,32,4507,7710
6934,32,3627,7710
6935,32,3760,7710
6935,32,3893,7710
6936,32,4025,7710
6937,32,4157,7710
6938,32,4292,7710
6939,32,4448,7710
6934,32,3546,7710
6935,32,3679,7710
6936,32,3807,7710
6937,32,3942,7710
6937,32,4075,7710
6938,32,4206,7710
6939,32,4365,7710
6940,32,4497,7710
6936,32,3588,7710
6936,32,3722,7710
6937,32,3855,7710
6938,32,3988,7710
6939,32,4145,7710
6940,32,4278,7710
6940,32,4410,7710
6941,32,4539,7710
6937,32,3649,7713
6938,32,3786,7713
6939,32,3941,7713
6940,32,4074,7713
6941,32,4206,7713
6941,32,4338,7713
6942,32,4471,7713
6938,32,3571,7713
6939,32,3703,7713
6940,32,3861,7713
6941,32,3993,7713
6941,32,4124,7713
6942,32,4255,7713
6943,32,4390,7713
6944,32,4521,7713
6940,32,3642,7717
6941,32,3777,7717
6942,32,3906,7717
6942,32,4039,7717
6943,32,4173,7717
6944,32,4306,7717
6945,32,4463,7717
6941,32,3564,7717
6941,32,3695,7717
6942,32,3827,7717
6943,32,3959,7717
6944,32,4092,7717
6944,32,4225,7717
6945,32,4379,7717
6946,32,4513,7717
6942,32,3609,7717
6943,32,3742,7717
6944,32,3874,7717
6945,32,4009,7717
6946,32,4165,7717
6946,32,4296,7717
6947,32,4431,7717
6947,32,3518,7717
6943,32,3654,7717
6944,32,3786,7717
6945,32,3918,7717
6946,32,4076,7717
6947,32,4209,7717
6948,32,4338,7717
6948,32,4470,7717
6944,32,3582,7717
6945,32,3713,7717
6946,32,3869,7717
6947,32,4005,7717
6948,32,4133,7717
6948,32,4266,7717
6949,32,4400,7717
6950,32,4533,7717
6946,32,3655,7717
6947,32,3788,7717
6948,32,3921,7717
6949,32,4049,7717
6949,32,4184,7717
6950,32,4314,7717
6951,32,4450,7717
6947,32,3569,7717
6948,32,3707,7717
6948,32,3835,7717
6949,32,3969,7717
6950,32,4102,7717
6951,32,4235,7717
6952,32,4391,7717
6953,32,4527,7717
6948,32,3620,7717
6949,32,3753,7717
6950,32,3886,7717
6951,32,4016,7717
6952,32,4176,7717
6953,32,4307,7717
6953,32,4442,7717
6949,32,3525,7717
6950,32,3658,7717
6951,32,3793,7717
6951,32,3924,7717
6952,32,4082,7717
6953,32,4216,7717
6954,32,4347,7717
6955,32,4476,7717
6951,32,3588,7717
6951,32,3722,7717
6952,32,3879,7717
6953,32,4012,7717
6954,32,4144,7717
6955,32,4274,7717
6956,32,4407,7717
6956,32,4538,7717
6952,32,3638,7717
6953,32,3793,7717
6954,32,3926,7717
6955,32,4058,7717
6956,32,4188,7717
6958,32,4322,7717
6957,32,4457,7717
6953,32,3578,7717
6954,32,3710,7717
6955,32,3844,7717
6956,32,3972,7717
6956,32,4109,7717
6957,32,4240,7717
6958,32,4402,7717
6959,32,4531,7717
6955,32,3632,7721
6956,32,3760,7721
6956,32,3896,7721
6957,32,4026,7721
6958,32,4161,7721
6959,32,4316,7721
6960,32,4450,7721
6955,32,3545,7721
6956,32,3679,7721
6957,32,3812,7721
6958,32,3945,7721
6959,32,4102,7721
6960,32,4232,7721
6960,32,4366,7721
6961,32,4496,7721
6957,32,3590,7721
6958,32,3725,7721
6959,32,3883,7721
6960,32,4016,7721
6960,32,4149,7721
6961,32,4279,7721
6962,32,4413,7721
6958,32,3516,7721
6958,32,3652,7721
6960,32,3808,7721
6960,32,3941,7721
6961,32,4072,7721
6962,32,4201,7721
6963,32,4335,7721
6963,32,4469,7721
6960,32,3603,7721
6960,32,3738,7721
6961,32,3869,7721
6962,32,4001,7721
6963,32,4132,7721
6963,32,4267,7721
6964,32,4400,7721
6960,32,3518,7721
6961,32,3651,7721
6962,32,3779,7721
6962,32,3912,7721
6963,32,4046,7721
6964,32,4178,7721
6965,32,4335,7721
6966,32,4468,7721
6962,32,3575,7721
6962,32,3708,7721
6963,32,3842,7721
6964,32,3975,7721
6965,32,4133,7721
6966,32,4266,7721
6967,32,4398,7721
6967,32,4529,7721
6963,32,3627,7721
6964,32,3762,7721
6965,32,3895,7721
6966,32,4053,7721
6967,32,4185,7721
6968,32,4316,7721
6968,32,4448,7721
6964,32,3548,7721
6965,32,3682,7721
6966,32,3839,7721
6967,32,3972,7721
6968,32,4104,7721
6968,32,4236,7721
6969,32,4369,7721
6970,32,4504,7721
6966,32,3617,7721
6967,32,3751,7721
6967,32,3882,7721
6968,32,4014,7721
6969,32,4147,7721
6970,32,4278,7721
6971,32,4438,7721
6967,32,3544,7721
6969,32,3680,7721
6968,32,3807,7721
6969,32,3942,7721
6970,32,4074,7721
6971,32,4208,7721
6972,32,4364,7721
6972,32,4497,7721
6968,32,3588,7721
6969,32,3717,7721
6970,32,3851,7721
6970,32,3985,7721
6971,32,4142,7721
6972,32,4276,7721
6973,32,4407,7721
6974,32,4539,7721
6970,32,3647,7721
6970,32,3781,7721
6971,32,3915,7721
6972,32,4072,7721
6973,32,4205,7721
6974,32,4335,7721
6975,32,4466,7721
6970,32,3566,7721
6971,32,3697,7721
6972,32,3854,7721
6973,32,3991,7721
6974,32,4120,7721
6975,32,4251,7721
6975,32,4385,7721
6976,32,4518,7721
6972,32,3641,7721
6973,32,3774,7721
6974,32,3906,7721
6975,32,4036,7721
6975,32,4169,7721
6976,32,4305,7721
6977,32,4437,7721
6973,32,3561,7721
6974,32,3693,7721
6974,32,3824,7721
6975,32,3955,7721
6976,32,4091,7721
6977,32,4225,7721
6978,32,4381,7721
6979,32,4516,7721
6975,32,3612,7721
6975,32,3747,7721
6976,32,3879,7721
6977,32,4011,7721
6978,32,4168,7721
6979,32,4304,7721
6979,32,4434,7721
6975,32,3522,7721
6976,32,3656,7721
6977,32,3786,7721
6978,32,3947,7721
6979,32,4077,7721
6979,32,4212,7721
6980,32,4340,7721
6981,32,4476,7721
6977,32,3584,7721
6977,32,3719,7721
6979,32,3874,7721
6979,32,4007,7721
6980,32,4140,7721
6981,32,4268,7721
6982,32,4402,7721
6982,32,4538,7721
6979,32,3661,7721
6979,32,3792,7721
6980,32,3924,7721
6981,32,4055,7721
6982,32,4190,7721
6983,32,4324,7721
6984,32,4483,7721
6979,32,3579,7721
6980,32,3713,7721
6981,32,3842,7721
6982,32,3978,7721
6982,32,4109,7721
