pcm,套件,引擎
SceneId-8/挂断/挂断市区半开窗/F005_挂断_014.wav,76,116
SceneId-8/挂断/挂断市区半开窗/F002_挂断_014.wav,88,85
SceneId-8/挂断/挂断高架中档/F004_挂断_014.wav,125,129
SceneId-8/挂断/挂断市区半开窗/F001_挂断_010.wav,54,97
SceneId-8/挂断/挂断郊区开窗/M004_挂断_003.wav,None,52
SceneId-8/接听/接听郊区开窗/M003_接听_002.wav,159,None
SceneId-8/挂断/挂断郊区开窗/F002_挂断_002.wav,133,127
SceneId-8/接听/接听郊区开窗/F004_接听_002.wav,184,174
SceneId-8/接听/接听郊区开窗/M003_接听_006.wav,None,166
SceneId-8/挂断/挂断高架中档/M005_挂断_007.wav,195,194
SceneId-8/挂断/挂断郊区开窗/M001_挂断_014.wav,None,139
SceneId-8/挂断/挂断市区半开窗/M001_挂断_006.wav,88,72
SceneId-8/接听/接听高架中档/M004_接听_003.wav,203,193
SceneId-8/挂断/挂断高架中档/F003_挂断_013.wav,119,107
SceneId-8/接听/接听高架中档/F004_接听_008.wav,152,None
SceneId-8/挂断/挂断郊区开窗/F001_挂断_009.wav,118,94
SceneId-8/接听/接听郊区开窗/F001_接听_011.wav,91,95
SceneId-8/挂断/挂断市区半开窗/F005_挂断_007.wav,157,150
SceneId-8/接听/接听市区半开窗/F005_接听_009.wav,170,None
SceneId-8/挂断/挂断高架中档/F002_挂断_013.wav,111,107
SceneId-8/挂断/挂断郊区开窗/F004_挂断_010.wav,69,79
SceneId-8/挂断/挂断郊区开窗/F004_挂断_015.wav,None,引擎未测试
SceneId-8/接听/接听市区半开窗/F004_接听_002.wav,151,152
SceneId-8/X3/M113_149.wav,153,154
SceneId-8/挂断/挂断市区半开窗/F004_挂断_004.wav,128,138
SceneId-8/接听/接听郊区开窗/F005_接听_002.wav,132,None
SceneId-8/挂断/挂断市区半开窗/M001_挂断_010.wav,161,157
SceneId-8/接听/接听郊区开窗/M004_接听_004.wav,194,None
SceneId-8/挂断/挂断高架中档/F002_挂断_007.wav,158,147
SceneId-8/接听/接听郊区开窗/M002_接听_012.wav,144,153
SceneId-8/挂断/挂断高架中档/F001_挂断_011.wav,102,112
SceneId-8/接听/接听郊区开窗/M002_接听_014.wav,152,引擎未测试
SceneId-8/挂断/挂断市区半开窗/F001_挂断_014.wav,77,73
SceneId-8/挂断/挂断高架中档/M001_挂断_007.wav,184,163
SceneId-8/挂断/挂断市区半开窗/F003_挂断_013.wav,56,80
SceneId-8/挂断/挂断郊区开窗/M001_挂断_004.wav,67,81
SceneId-8/挂断/挂断高架中档/M004_挂断_007.wav,None,116
SceneId-8/挂断/挂断高架中档/M005_挂断_011.wav,None,93
SceneId-8/挂断/挂断高架中档/M004_挂断_013.wav,83,引擎未测试
SceneId-8/挂断/挂断高架中档/M004_挂断_003.wav,136,86
SceneId-8/挂断/挂断郊区开窗/F004_挂断_011.wav,75,90
SceneId-8/挂断/挂断高架中档/F003_挂断_011.wav,91,93
SceneId-8/接听/接听郊区开窗/M004_接听_010.wav,178,205
SceneId-8/接听/接听郊区开窗/M003_接听_011.wav,158,127
SceneId-8/挂断/挂断高架中档/F002_挂断_002.wav,128,122
SceneId-8/挂断/挂断市区半开窗/M005_挂断_014.wav,97,89
SceneId-8/挂断/挂断高架中档/M004_挂断_006.wav,116,引擎未测试
SceneId-8/接听/接听高架中档/M004_接听_010.wav,161,137
SceneId-8/挂断/挂断高架中档/F002_挂断_001.wav,118,125
SceneId-8/接听/接听郊区开窗/F001_接听_010.wav,190,194
SceneId-8/挂断/挂断郊区开窗/M003_挂断_009.wav,121,126
SceneId-8/挂断/挂断郊区开窗/F004_挂断_002.wav,127,121
SceneId-8/挂断/挂断市区半开窗/M004_挂断_004.wav,89,70
SceneId-8/接听/接听高架中档/M002_接听_014.wav,98,引擎未测试
SceneId-8/挂断/挂断市区半开窗/M003_挂断_012.wav,104,引擎未测试
SceneId-8/接听/接听高架中档/F001_接听_002.wav,None,176
SceneId-8/挂断/挂断郊区开窗/M002_挂断_004.wav,None,92
SceneId-8/挂断/挂断高架中档/F002_挂断_014.wav,118,143
SceneId-8/挂断/挂断市区半开窗/M004_挂断_011.wav,72,62
SceneId-8/接听/接听市区半开窗/M004_接听_008.wav,167,147
SceneId-8/挂断/挂断市区半开窗/F005_挂断_015.wav,114,97
SceneId-8/挂断/挂断高架中档/F005_挂断_014.wav,None,107
SceneId-8/接听/接听郊区开窗/M004_接听_003.wav,165,172
SceneId-8/接听/接听郊区开窗/M003_接听_001.wav,177,引擎未测试
SceneId-8/接听/接听郊区开窗/M004_接听_007.wav,150,144
SceneId-8/挂断/挂断高架中档/F002_挂断_008.wav,105,105
SceneId-8/挂断/挂断市区半开窗/F001_挂断_001.wav,123,77
SceneId-8/接听/接听郊区开窗/M005_接听_013.wav,163,引擎未测试
SceneId-8/挂断/挂断高架中档/F004_挂断_001.wav,102,124
SceneId-8/挂断/挂断市区半开窗/M004_挂断_009.wav,130,124
SceneId-8/接听/接听高架中档/M004_接听_015.wav,None,147
SceneId-8/挂断/挂断郊区开窗/M001_挂断_001.wav,118,引擎未测试
SceneId-8/挂断/挂断市区半开窗/M001_挂断_014.wav,152,150
SceneId-8/接听/接听郊区开窗/M005_接听_008.wav,None,148
SceneId-8/挂断/挂断郊区开窗/F002_挂断_011.wav,128,127
SceneId-8/挂断/挂断郊区开窗/F003_挂断_014.wav,56,None
SceneId-8/X3/M103_150.wav,105,112
SceneId-8/挂断/挂断市区半开窗/F005_挂断_006.wav,193,201
SceneId-8/挂断/挂断高架中档/F003_挂断_008.wav,109,117
SceneId-8/挂断/挂断市区半开窗/F001_挂断_005.wav,88,138
SceneId-8/接听/接听高架中档/M004_接听_009.wav,136,134
SceneId-8/接听/接听郊区开窗/M002_接听_010.wav,117,100
SceneId-8/挂断/挂断市区半开窗/M002_挂断_009.wav,136,89
SceneId-8/挂断/挂断市区半开窗/M005_挂断_008.wav,122,152
SceneId-8/挂断/挂断郊区开窗/F004_挂断_005.wav,None,134
SceneId-8/X3/F004_150.wav,99,100
SceneId-8/挂断/挂断郊区开窗/F004_挂断_008.wav,140,109
SceneId-8/挂断/挂断高架中档/M003_挂断_002.wav,142,144
SceneId-8/挂断/挂断高架中档/F005_挂断_009.wav,186,172
SceneId-8/接听/接听市区半开窗/M005_接听_007.wav,None,115
SceneId-8/挂断/挂断高架中档/M002_挂断_005.wav,82,99
SceneId-8/X3/F002_150.wav,113,112
SceneId-8/X3/M104_150.wav,89,96
SceneId-8/挂断/挂断市区半开窗/F005_挂断_004.wav,92,100
SceneId-8/挂断/挂断高架中档/M001_挂断_010.wav,159,171
SceneId-8/挂断/挂断郊区开窗/F002_挂断_006.wav,143,122
SceneId-8/挂断/挂断市区半开窗/M004_挂断_002.wav,105,106
SceneId-8/接听/接听郊区开窗/M003_接听_008.wav,141,162
SceneId-8/挂断/挂断市区半开窗/M005_挂断_007.wav,154,136
SceneId-8/接听/接听高架中档/F001_接听_007.wav,None,176
SceneId-8/挂断/挂断市区半开窗/F004_挂断_015.wav,114,111
SceneId-8/接听/接听高架中档/F003_接听_010.wav,132,引擎未测试
SceneId-8/挂断/挂断高架中档/F002_挂断_004.wav,83,80
SceneId-8/挂断/挂断市区半开窗/F004_挂断_012.wav,58,60
SceneId-8/挂断/挂断市区半开窗/F002_挂断_009.wav,75,80
SceneId-8/挂断/挂断高架中档/F004_挂断_003.wav,146,149
SceneId-8/挂断/挂断郊区开窗/F001_挂断_001.wav,131,62
SceneId-8/挂断/挂断市区半开窗/F003_挂断_015.wav,79,78
SceneId-8/接听/接听市区半开窗/M003_接听_007.wav,139,引擎未测试
SceneId-8/挂断/挂断高架中档/F005_挂断_004.wav,98,87
SceneId-8/挂断/挂断市区半开窗/F003_挂断_009.wav,148,145
SceneId-8/挂断/挂断郊区开窗/F004_挂断_004.wav,139,141
SceneId-8/挂断/挂断高架中档/M001_挂断_013.wav,166,167
SceneId-8/接听/接听郊区开窗/M001_接听_013.wav,194,195
SceneId-8/挂断/挂断高架中档/M001_挂断_001.wav,104,None
SceneId-8/挂断/挂断郊区开窗/M002_挂断_002.wav,52,None
SceneId-8/挂断/挂断高架中档/M003_挂断_007.wav,157,160
SceneId-8/X3/M011_151.wav,73,69
SceneId-8/挂断/挂断高架中档/M004_挂断_005.wav,117,87
SceneId-8/挂断/挂断郊区开窗/M004_挂断_006.wav,None,引擎未测试
SceneId-8/接听/接听高架中档/M002_接听_007.wav,75,92
SceneId-8/挂断/挂断郊区开窗/F002_挂断_014.wav,74,83
SceneId-8/挂断/挂断高架中档/M003_挂断_009.wav,145,140
SceneId-8/挂断/挂断郊区开窗/F002_挂断_005.wav,99,92
SceneId-8/挂断/挂断郊区开窗/F005_挂断_008.wav,150,145
SceneId-8/挂断/挂断郊区开窗/M003_挂断_010.wav,131,92
SceneId-8/接听/接听市区半开窗/M004_接听_009.wav,None,158
SceneId-8/挂断/挂断高架中档/M001_挂断_008.wav,126,141
SceneId-8/挂断/挂断高架中档/M003_挂断_013.wav,None,132
SceneId-8/挂断/挂断市区半开窗/F002_挂断_002.wav,129,115
SceneId-8/挂断/挂断高架中档/F001_挂断_007.wav,137,128
SceneId-8/挂断/挂断郊区开窗/M005_挂断_013.wav,97,引擎未测试
SceneId-8/挂断/挂断高架中档/M003_挂断_006.wav,158,156
SceneId-8/挂断/挂断市区半开窗/M001_挂断_007.wav,59,69
SceneId-8/挂断/挂断高架中档/F004_挂断_007.wav,116,111
SceneId-8/挂断/挂断郊区开窗/F003_挂断_006.wav,133,134
SceneId-8/挂断/挂断高架中档/F002_挂断_003.wav,142,144
SceneId-8/挂断/挂断郊区开窗/M001_挂断_008.wav,117,112
SceneId-8/挂断/挂断高架中档/F001_挂断_004.wav,119,126
SceneId-8/挂断/挂断高架中档/M004_挂断_004.wav,100,109
SceneId-8/挂断/挂断市区半开窗/F003_挂断_011.wav,76,70
SceneId-8/挂断/挂断郊区开窗/M002_挂断_015.wav,84,123
SceneId-8/挂断/挂断高架中档/M004_挂断_002.wav,129,136
SceneId-8/接听/接听高架中档/M001_接听_015.wav,146,142
SceneId-8/挂断/挂断郊区开窗/F004_挂断_006.wav,122,99
SceneId-8/挂断/挂断高架中档/M005_挂断_008.wav,132,163
SceneId-8/挂断/挂断郊区开窗/F005_挂断_005.wav,84,63
SceneId-8/接听/接听郊区开窗/F001_接听_002.wav,129,None
SceneId-8/挂断/挂断郊区开窗/M003_挂断_002.wav,124,97
SceneId-8/挂断/挂断郊区开窗/M003_挂断_003.wav,84,131
SceneId-8/挂断/挂断市区半开窗/F002_挂断_006.wav,None,124
SceneId-8/挂断/挂断郊区开窗/F001_挂断_010.wav,88,128
SceneId-8/挂断/挂断高架中档/F003_挂断_015.wav,97,71
SceneId-8/挂断/挂断郊区开窗/M005_挂断_007.wav,55,引擎未测试
SceneId-8/挂断/挂断郊区开窗/F001_挂断_003.wav,68,None
SceneId-8/挂断/挂断市区半开窗/F004_挂断_010.wav,63,61
SceneId-8/挂断/挂断高架中档/F003_挂断_002.wav,None,64
SceneId-8/挂断/挂断市区半开窗/F005_挂断_008.wav,None,126
SceneId-8/挂断/挂断高架中档/F001_挂断_003.wav,82,86
SceneId-8/挂断/挂断高架中档/M003_挂断_014.wav,129,118
SceneId-8/挂断/挂断高架中档/M005_挂断_015.wav,130,135
SceneId-8/挂断/挂断郊区开窗/F002_挂断_008.wav,67,引擎未测试
SceneId-8/挂断/挂断市区半开窗/F005_挂断_003.wav,102,104
SceneId-8/挂断/挂断市区半开窗/F001_挂断_009.wav,82,53
SceneId-8/接听/接听高架中档/M001_接听_013.wav,163,None
SceneId-8/接听/接听郊区开窗/F004_接听_015.wav,136,124
SceneId-8/挂断/挂断郊区开窗/F004_挂断_001.wav,132,124
SceneId-8/挂断/挂断郊区开窗/F005_挂断_003.wav,72,62
SceneId-8/接听/接听郊区开窗/M002_接听_013.wav,None,154
SceneId-8/挂断/挂断高架中档/M002_挂断_014.wav,63,75
SceneId-8/挂断/挂断高架中档/M004_挂断_010.wav,123,73
SceneId-8/接听/接听市区半开窗/M004_接听_010.wav,161,166
SceneId-8/挂断/挂断郊区开窗/M005_挂断_009.wav,90,87
SceneId-8/挂断/挂断郊区开窗/F003_挂断_010.wav,84,83
SceneId-8/挂断/挂断郊区开窗/F005_挂断_015.wav,137,110
SceneId-8/接听/接听高架中档/M002_接听_010.wav,134,125
SceneId-8/挂断/挂断郊区开窗/F001_挂断_007.wav,150,95
SceneId-8/挂断/挂断市区半开窗/M004_挂断_003.wav,122,121
SceneId-8/挂断/挂断市区半开窗/F004_挂断_014.wav,134,124
SceneId-8/接听/接听高架中档/F004_接听_010.wav,170,158
SceneId-8/接听/接听高架中档/M004_接听_004.wav,None,174
SceneId-8/接听/接听高架中档/F003_接听_007.wav,None,140
SceneId-8/挂断/挂断市区半开窗/M004_挂断_008.wav,55,74
SceneId-8/挂断/挂断高架中档/M004_挂断_015.wav,101,105
SceneId-8/接听/接听高架中档/F001_接听_003.wav,165,None
SceneId-8/挂断/挂断市区半开窗/M003_挂断_002.wav,170,162
SceneId-8/挂断/挂断郊区开窗/F005_挂断_006.wav,144,116
SceneId-8/挂断/挂断郊区开窗/F003_挂断_013.wav,107,118
SceneId-8/挂断/挂断高架中档/M005_挂断_001.wav,103,引擎未测试
SceneId-8/挂断/挂断高架中档/F005_挂断_011.wav,85,67
SceneId-8/接听/接听市区半开窗/M001_接听_012.wav,126,None
SceneId-8/挂断/挂断市区半开窗/M003_挂断_006.wav,None,157
SceneId-8/接听/接听市区半开窗/M004_接听_006.wav,152,154
SceneId-8/挂断/挂断市区半开窗/M004_挂断_012.wav,55,引擎未测试
SceneId-8/挂断/挂断郊区开窗/F005_挂断_012.wav,65,引擎未测试
SceneId-8/挂断/挂断市区半开窗/M002_挂断_008.wav,80,139
SceneId-8/接听/接听高架中档/F004_接听_006.wav,122,136
SceneId-8/挂断/挂断郊区开窗/M002_挂断_006.wav,92,58
SceneId-8/挂断/挂断郊区开窗/M001_挂断_006.wav,161,156
SceneId-8/挂断/挂断郊区开窗/M003_挂断_006.wav,111,89
SceneId-8/挂断/挂断市区半开窗/M003_挂断_003.wav,161,152
SceneId-8/挂断/挂断市区半开窗/F004_挂断_005.wav,151,122
SceneId-8/接听/接听郊区开窗/F004_接听_010.wav,159,160
SceneId-8/接听/接听高架中档/M001_接听_001.wav,None,138
SceneId-8/接听/接听高架中档/M001_接听_011.wav,169,172
SceneId-8/挂断/挂断高架中档/F002_挂断_015.wav,None,123
SceneId-8/挂断/挂断市区半开窗/M001_挂断_004.wav,93,86
SceneId-8/挂断/挂断市区半开窗/F005_挂断_005.wav,104,106
SceneId-8/挂断/挂断高架中档/M001_挂断_006.wav,161,166
SceneId-8/接听/接听高架中档/M003_接听_001.wav,None,162
SceneId-8/接听/接听郊区开窗/M005_接听_012.wav,None,144
SceneId-8/挂断/挂断郊区开窗/M004_挂断_001.wav,None,66
SceneId-8/接听/接听高架中档/M002_接听_013.wav,None,108
SceneId-8/挂断/挂断郊区开窗/M002_挂断_014.wav,None,78
SceneId-8/X3/M110_151.wav,117,116
SceneId-8/挂断/挂断市区半开窗/M003_挂断_005.wav,167,170
SceneId-8/挂断/挂断市区半开窗/F004_挂断_003.wav,133,129
SceneId-8/接听/接听郊区开窗/F004_接听_009.wav,170,186
SceneId-8/挂断/挂断市区半开窗/M003_挂断_008.wav,157,130
SceneId-8/挂断/挂断高架中档/F003_挂断_001.wav,114,引擎未测试
SceneId-8/挂断/挂断市区半开窗/M001_挂断_013.wav,136,130
SceneId-8/接听/接听高架中档/F004_接听_007.wav,129,135
SceneId-8/挂断/挂断市区半开窗/M002_挂断_010.wav,104,89
SceneId-8/挂断/挂断高架中档/F005_挂断_008.wav,180,173
SceneId-8/挂断/挂断市区半开窗/M004_挂断_006.wav,85,76
SceneId-8/挂断/挂断市区半开窗/F002_挂断_012.wav,78,72
SceneId-8/挂断/挂断市区半开窗/M003_挂断_010.wav,125,96
SceneId-8/接听/接听高架中档/M004_接听_006.wav,192,None
SceneId-8/挂断/挂断高架中档/M001_挂断_003.wav,94,95
SceneId-8/接听/接听郊区开窗/M004_接听_009.wav,192,169
SceneId-8/挂断/挂断郊区开窗/M002_挂断_013.wav,82,70
SceneId-8/挂断/挂断郊区开窗/F004_挂断_003.wav,88,98
SceneId-8/X3/M113_150.wav,145,146
SceneId-8/挂断/挂断市区半开窗/F004_挂断_009.wav,79,87
SceneId-8/接听/接听郊区开窗/M001_接听_008.wav,None,引擎未测试
SceneId-8/挂断/挂断市区半开窗/F002_挂断_004.wav,72,78
SceneId-8/挂断/挂断市区半开窗/F001_挂断_015.wav,62,65
SceneId-8/挂断/挂断市区半开窗/F003_挂断_001.wav,None,引擎未测试
SceneId-8/挂断/挂断郊区开窗/M005_挂断_015.wav,64,110
SceneId-8/挂断/挂断郊区开窗/F002_挂断_012.wav,118,108
SceneId-8/挂断/挂断高架中档/F001_挂断_013.wav,58,57
SceneId-8/挂断/挂断高架中档/M002_挂断_001.wav,69,66
SceneId-8/挂断/挂断市区半开窗/M003_挂断_015.wav,88,79
SceneId-8/挂断/挂断郊区开窗/M002_挂断_005.wav,81,94
SceneId-8/接听/接听郊区开窗/M003_接听_005.wav,143,引擎未测试
SceneId-8/挂断/挂断市区半开窗/M001_挂断_009.wav,107,136
SceneId-8/X3/M102_152.wav,56,55
SceneId-8/接听/接听郊区开窗/F004_接听_008.wav,191,196
SceneId-8/挂断/挂断市区半开窗/M004_挂断_001.wav,143,121
SceneId-8/挂断/挂断高架中档/F004_挂断_004.wav,134,162
SceneId-8/挂断/挂断郊区开窗/F005_挂断_001.wav,96,85
SceneId-8/挂断/挂断高架中档/F003_挂断_007.wav,132,147
SceneId-8/挂断/挂断高架中档/F002_挂断_009.wav,143,114
SceneId-8/挂断/挂断郊区开窗/F002_挂断_001.wav,115,100
SceneId-8/挂断/挂断郊区开窗/F002_挂断_004.wav,96,86
SceneId-8/挂断/挂断郊区开窗/M003_挂断_014.wav,123,None
SceneId-8/X3/F005_149.wav,148,147
SceneId-8/挂断/挂断高架中档/M003_挂断_004.wav,167,171
SceneId-8/挂断/挂断郊区开窗/M005_挂断_006.wav,None,57
SceneId-8/挂断/挂断市区半开窗/M002_挂断_004.wav,79,62
SceneId-8/挂断/挂断市区半开窗/M002_挂断_011.wav,92,None
SceneId-8/挂断/挂断郊区开窗/F003_挂断_009.wav,85,64
SceneId-8/挂断/挂断郊区开窗/F003_挂断_004.wav,None,54
SceneId-8/接听/接听郊区开窗/M004_接听_002.wav,None,190
SceneId-8/挂断/挂断市区半开窗/F003_挂断_007.wav,140,130
SceneId-8/接听/接听郊区开窗/F004_接听_006.wav,170,170
SceneId-8/挂断/挂断高架中档/M001_挂断_014.wav,118,121
SceneId-8/接听/接听郊区开窗/M003_接听_009.wav,None,156
SceneId-8/接听/接听高架中档/M003_接听_006.wav,None,177
SceneId-8/X3/M014_149.wav,173,172
SceneId-8/挂断/挂断市区半开窗/M005_挂断_009.wav,135,136
SceneId-8/挂断/挂断高架中档/M002_挂断_007.wav,90,92
SceneId-8/接听/接听高架中档/M003_接听_005.wav,158,引擎未测试
SceneId-8/挂断/挂断高架中档/M002_挂断_003.wav,94,101
SceneId-8/接听/接听高架中档/F001_接听_008.wav,184,引擎未测试
SceneId-8/挂断/挂断市区半开窗/F003_挂断_008.wav,119,119
SceneId-8/接听/接听郊区开窗/M004_接听_013.wav,209,208
SceneId-8/挂断/挂断郊区开窗/M005_挂断_014.wav,None,68
SceneId-8/挂断/挂断郊区开窗/F001_挂断_004.wav,None,72
SceneId-8/接听/接听高架中档/M003_接听_009.wav,187,190
SceneId-8/接听/接听郊区开窗/F004_接听_007.wav,164,168
SceneId-8/接听/接听高架中档/M004_接听_007.wav,141,152
SceneId-8/挂断/挂断高架中档/M001_挂断_012.wav,139,145
SceneId-8/挂断/挂断郊区开窗/M001_挂断_011.wav,None,126
SceneId-8/接听/接听市区半开窗/M003_接听_006.wav,None,145
SceneId-8/挂断/挂断郊区开窗/M003_挂断_004.wav,126,146
SceneId-8/挂断/挂断市区半开窗/M003_挂断_007.wav,145,160
SceneId-8/挂断/挂断高架中档/M002_挂断_010.wav,75,97
SceneId-8/挂断/挂断市区半开窗/F005_挂断_002.wav,118,102
SceneId-8/挂断/挂断高架中档/M002_挂断_015.wav,112,136
SceneId-8/接听/接听郊区开窗/M003_接听_015.wav,None,113
SceneId-8/X3/M014_151.wav,170,169
SceneId-8/挂断/挂断市区半开窗/M002_挂断_003.wav,None,88
SceneId-8/挂断/挂断郊区开窗/M005_挂断_011.wav,64,69
SceneId-8/挂断/挂断市区半开窗/M002_挂断_007.wav,98,77


得分一致率：,0.53