列表,业务,云端标注,本地标注
chinese/dzdm/X5/X5-5-DZ/M005/M005_116.wav,map,给我显示银泰的超市,给我显示银泰的超市
chinese/dzdm/X5/X5-5-DZ/M005/M005_195.wav,scheduled_destination,我想检查这周五的日程,我想检查这周五的日程
chinese/dzdm/X5/X5-5-DZ/M004/M004_009.wav,radio,播放fm频率九幺点四,播放fm频率九幺点四
chinese/dzdm/X5/X5-7-DZ/M009/M009_063.wav,telephone,打电话给苏州阳澄湖维景国际度假酒店,打电话给苏州阳澄湖维景国际度假酒店
chinese/dzdm/X5/X5-2-DZ/F005/F005_010.wav,radio,打开fm频率九一点七,打开fm频率九一点七
chinese/dzdm/X5/X5-6-DZ/M007/M007_057.wav,telephone,接通华硕钱经理,接通华硕钱经理
chinese/dzdm/X5/X5-6-DZ/M006/M006_054.wav,telephone,请拨打王平,请拨打王平
chinese/dzdm/X5/X5-5-DZ/M003/M003_171.wav,wether,敦煌有没有沙尘暴,敦煌有没有沙尘暴
chinese/dzdm/X5/X5-1-DZ/F002/F002_211.wav,,我想听亲宝儿歌,我想听亲宝儿歌
chinese/dzdm/X5/X5-1-DZ/F001/F001_180.wav,wether,星期六会下雨吗,星期六会下雨吗
chinese/dzdm/X5/X5-5-DZ/M004/M004_172.wav,wether,明天的雨是不是很大,明天的雨是不是很大
chinese/dzdm/X5/X5-7-DZ/M010/M010_171.wav,new,上个星期三的新闻,上个星期三的新闻
chinese/dzdm/X5/X5-5-DZ/M005/M005_198.wav,scheduled_destination,我想检查十二月二号的日程,我想检查十二月二号的日程
chinese/dzdm/X5/X5-7-DZ/M009/M009_031.wav,meida,我要听hold不住的爱,我要听hold不住的爱
chinese/dzdm/X5/X5-3-DZ/F009/F009_215.wav,,播放李阳疯狂英语突破对话,播放李阳疯狂英语突破对话
chinese/dzdm/X5/X5-2-DZ/F004/F004_144.wav,map,我想找目的地附近的酒吧,我想找目的地附近的酒吧
chinese/dzdm/X5/X5-6-DZ/M006/M006_095.wav,map,把我带到我的单位,把我带到我的单位
chinese/dzdm/X5/X5-4-DZ/M002/M002_216.wav,,打开晓松奇谈2014,打开晓松奇谈2014
chinese/dzdm/X5/X5-1-DZ/F001/F001_207.wav,cmd,下一页,下一页
chinese/dzdm/X5/X5-2-DZ/F005/F005_192.wav,new,我想阅读关于国际新闻的新闻,我想阅读关于国际新闻的新闻
chinese/dzdm/X5/X5-4-DZ/M002/M002_163.wav,traffic,城中路上向东方向交通状况,城中路上向东方向交通状况
chinese/dzdm/X5/X5-5-DZ/M004/M004_159.wav,traffic,大通路上向南方向路况,大通路上向南方向路况
chinese/dzdm/X5/X5-6-DZ/M006/M006_165.wav,traffic,打开实时交通,打开实时交通
chinese/dzdm/X5/X5-7-DZ/M010/M010_097.wav,map,导航到阿盟造型,导航到阿盟造型
chinese/dzdm/X5/X5-4-DZ/F010/F010_122.wav,map,导航到仁和街与白鹤街路口,导航到仁和街与白鹤街路口
chinese/dzdm/X5/X5-6-DZ/M006/M006_141.wav,map,怎么去白兰路上的公交站,怎么去白兰路上的公交站
chinese/dzdm/X5/X5-3-DZ/F008/F008_021.wav,meida,我想听闹够了没有,我想听闹够了没有
chinese/dzdm/X5/X5-1-DZ/F001/F001_161.wav,traffic,马连洼北路上堵车吗,马连洼北路上堵车吗
chinese/dzdm/X5/X5-1-DZ/F002/F002_104.wav,map,我要到安西路与利西路交口,我要到安西路与利西路交口
chinese/dzdm/X5/X5-4-DZ/M001/M001_052.wav,cmd,拨打,拨打
chinese/dzdm/X5/X5-1-DZ/F001/F001_187.wav,new,我想读一些社会新闻,我想读一些社会新闻
chinese/dzdm/X5/X5-2-DZ/F004/F004_057.wav,telephone,我还想呼叫幺三三五四七八九零二幺,我还想呼叫幺三三五四七八九零二幺
chinese/dzdm/X5/X5-3-DZ/F009/F009_174.wav,wether,明天刮风吗用不用穿衣服,明天刮风吗用不用穿衣服
chinese/dzdm/X5/X5-5-DZ/M004/M004_209.wav,,打开在线广播波波有理,打开在线广播波波有理
chinese/dzdm/X5/X5-2-DZ/F004/F004_124.wav,map,我想找森林海附近的银行,我想找森林海附近的银行
chinese/dzdm/X5/X5-2-DZ/F004/F004_047.wav,telephone,请帮我拨打幺八五五六五二幺四四四,请帮我拨打幺八五五六五二幺四四四
chinese/dzdm/X5/X5-4-DZ/M002/M002_219.wav,,打开治愈系,打开治愈系
chinese/dzdm/X5/X5-5-DZ/M005/M005_068.wav,telephone,我想给冯海峰打电话,我想给冯海峰打电话
chinese/dzdm/X5/X5-3-DZ/F007/F007_113.wav,map,导航到风剪,导航到风剪
chinese/dzdm/X5/X5-4-DZ/M002/M002_172.wav,wether,青岛后天啥天气,青岛后天啥天气
chinese/dzdm/X5/X5-5-DZ/M003/M003_055.wav,telephone,拨打麦扣的家庭号码,拨打麦扣的家庭号码
chinese/dzdm/X5/X5-6-DZ/M008/M008_202.wav,help,有哪些多媒体的命令,有哪些多媒体的命令
chinese/dzdm/X5/X5-6-DZ/M007/M007_059.wav,telephone,接通郭春禹,接通郭春禹
chinese/dzdm/X5/X5-1-DZ/F002/F002_123.wav,map,聚源路与长寿路交口,聚源路与长寿路交口
chinese/dzdm/X5/X5-6-DZ/M006/M006_196.wav,scheduled_destination,我想检查八月二十号的日程,我想检查八月二十号的日程
chinese/dzdm/X5/X5-2-DZ/F006/F006_135.wav,map,我想去北兰路上的kfc,我想去北兰路上的kfc
chinese/dzdm/X5/X5-5-DZ/M003/M003_026.wav,meida,王菲的匆匆那年,王菲的匆匆那年
chinese/dzdm/X5/X5-5-DZ/M003/M003_065.wav,telephone,拨打幺八七五五幺五九五九九,拨打幺八七五五幺五九五九九
chinese/dzdm/X5/X5-4-DZ/M002/M002_022.wav,meida,打开音源,打开音源
chinese/dzdm/X5/X5-6-DZ/M006/M006_088.wav,map,去办公室,去办公室
chinese/dzdm/X5/X5-5-DZ/M004/M004_047.wav,telephone,请帮我拨打幺八五五六五二幺四四四,请帮我拨打幺八五五六五二幺四四四
chinese/dzdm/X5/X5-6-DZ/M006/M006_217.wav,,在线广播蓝迪四季歌,在线广播蓝迪四季歌
chinese/dzdm/X5/X5-4-DZ/M002/M002_030.wav,meida,随便来几首,随便来几首
chinese/dzdm/X5/X5-1-DZ/F001/F001_023.wav,meida,听usb,听usb
chinese/dzdm/X5/X5-2-DZ/F005/F005_001.wav,radio,打开am七百七十四,打开am七百七十四
chinese/dzdm/X5/X5-3-DZ/F008/F008_196.wav,scheduled_destination,我想检查下周五的日程,我想检查下周五的日程
chinese/dzdm/X5/X5-4-DZ/F010/F010_102.wav,map,导航到安庄村,导航到安庄村
chinese/dzdm/X5/X5-4-DZ/M001/M001_195.wav,scheduled_destination,我想检查后天的日程,我想检查后天的日程
chinese/dzdm/X5/X5-1-DZ/F003/F003_090.wav,map,我要去安东路与大叶公路交叉口,我要去安东路与大叶公路交叉口
chinese/dzdm/X5/X5-4-DZ/M001/M001_034.wav,meida,媒体源切换,媒体源切换
chinese/dzdm/X5/X5-2-DZ/F005/F005_066.wav,telephone,我想给总监打电话,我想给总监打电话
chinese/dzdm/X5/X5-1-DZ/F002/F002_094.wav,map,福建路,福建路
chinese/dzdm/X5/X5-2-DZ/F006/F006_085.wav,map,回办公室,回办公室
chinese/dzdm/X5/X5-3-DZ/F007/F007_209.wav,,在线广播今晚80后脱口秀2013,在线广播今晚80后脱口秀2013
chinese/dzdm/X5/X5-1-DZ/F002/F002_172.wav,wether,青岛后天啥天气,青岛后天啥天气
chinese/dzdm/X5/X5-2-DZ/F005/F005_072.wav,telephone,我想打电话给孙磊,我想打电话给孙磊
chinese/dzdm/X5/X5-4-DZ/M002/M002_117.wav,map,我要去爱德路与灯明路交叉路口,我要去爱德路与灯明路交叉路口
chinese/dzdm/X5/X5-6-DZ/M006/M006_096.wav,map,开始引导,开始引导
chinese/dzdm/X5/X5-4-DZ/F010/F010_073.wav,telephone,拨打杜先生insert,拨打杜先生insert
chinese/dzdm/X5/X5-3-DZ/F009/F009_006.wav,radio,调频六一二,调频六一二
chinese/dzdm/X5/X5-5-DZ/M005/M005_006.wav,radio,打开fm九幺点五,打开fm九幺点五
chinese/dzdm/X5/X5-2-DZ/F004/F004_039.wav,meida,播放歌曲明天你好,播放歌曲明天你好
chinese/dzdm/X5/X5-5-DZ/M004/M004_120.wav,map,我想找艾比客附近的wc,我想找艾比客附近的wc
chinese/dzdm/X5/X5-2-DZ/F004/F004_062.wav,telephone,我想呼叫幺三三七八六六七七八零,我想呼叫幺三三七八六六七七八零
chinese/dzdm/X5/X5-2-DZ/F006/F006_128.wav,map,带我去望江西路上的麦当劳,带我去望江西路上的麦当劳
chinese/dzdm/X5/X5-1-DZ/F002/F002_136.wav,map,带我去爱辉路与长江西路十字口,带我去爱辉路与长江西路十字口
chinese/dzdm/X5/X5-7-DZ/M010/M010_118.wav,map,导航到二十四区三坊六巷一号首层,导航到二十四区三坊六巷一号首层
chinese/dzdm/X5/X5-3-DZ/F007/F007_095.wav,map,到西环中路的银行怎么走,到西环中路的银行怎么走
chinese/dzdm/X5/X5-2-DZ/F006/F006_098.wav,map,开始路线引导,开始路线引导
chinese/dzdm/X5/X5-4-DZ/M001/M001_214.wav,,最喜爱的电台,最喜爱的电台
chinese/dzdm/X5/X5-5-DZ/M003/M003_192.wav,new,我想读关于经济新闻,我想读关于经济新闻
chinese/dzdm/X5/X5-5-DZ/M003/M003_091.wav,map,我要去安东路与大叶公路交叉路口,我要去安东路与大叶公路交叉路口
chinese/dzdm/X5/X5-5-DZ/M005/M005_056.wav,telephone,拨打马军伟电话,拨打马军伟电话
chinese/dzdm/X5/X5-7-DZ/M010/M010_029.wav,meida,播放上一个歌曲名,播放上一个歌曲名
chinese/dzdm/X5/X5-6-DZ/M008/M008_060.wav,telephone,呼出记录,呼出记录
chinese/dzdm/X5/X5-5-DZ/M005/M005_222.wav,,接着播放口语天天练,接着播放口语天天练
chinese/dzdm/X5/X5-7-DZ/M009/M009_136.wav,map,周围的白云大厦万达广场a座,周围的白云大厦万达广场a座
chinese/dzdm/X5/X5-6-DZ/M007/M007_189.wav,new,军事相关的新闻,军事相关的新闻
chinese/dzdm/X5/X5-3-DZ/F007/F007_040.wav,meida,听一首默,听一首默
chinese/dzdm/X5/X5-3-DZ/F009/F009_118.wav,map,周围的ems快递,周围的ems快递
chinese/dzdm/X5/X5-7-DZ/M010/M010_156.wav,traffic,交通信息,交通信息
chinese/dzdm/X5/X5-5-DZ/M004/M004_100.wav,map,我要找艾比客附近的停车位,我要找艾比客附近的停车位
chinese/dzdm/X5/X5-6-DZ/M006/M006_166.wav,traffic,开启路况,开启路况
chinese/dzdm/X5/X5-1-DZ/F002/F002_087.wav,map,带我去前竖公路八百号,带我去前竖公路八百号
chinese/dzdm/X5/X5-5-DZ/M004/M004_155.wav,traffic,碧云路上向北方向路况通畅吗,碧云路上向北方向路况通畅吗
chinese/dzdm/X5/X5-3-DZ/F007/F007_216.wav,,收听在线广播麻衣世家,收听在线广播麻衣世家
chinese/dzdm/X5/X5-6-DZ/M006/M006_215.wav,,在线广播晚安心语,在线广播晚安心语
chinese/dzdm/X5/X5-1-DZ/F001/F001_189.wav,new,我想读一些娱乐新闻,我想读一些娱乐新闻
chinese/dzdm/X5/X5-3-DZ/F007/F007_148.wav,map,导航到农行绥化海伦华丰支行,导航到农行绥化海伦华丰支行
chinese/dzdm/X5/X5-6-DZ/M007/M007_061.wav,telephone,接通李长林,接通李长林
chinese/dzdm/X5/X5-5-DZ/M003/M003_096.wav,map,我要去安福路与乌鲁木齐中路十字路,我要去安福路与乌鲁木齐中路十字路
chinese/dzdm/X5/X5-3-DZ/F007/F007_082.wav,telephone,我想查看所有通话,我想查看所有通话
chinese/dzdm/X5/X5-3-DZ/F008/F008_080.wav,telephone,拨打申通快递的电话,拨打申通快递的电话
chinese/dzdm/X5/X5-6-DZ/M007/M007_089.wav,map,到北三环中路的公交站怎么走,到北三环中路的公交站怎么走
chinese/dzdm/X5/X5-6-DZ/M006/M006_167.wav,wether,未来一周北京的天气怎么样,未来一周北京的天气怎么样
chinese/dzdm/X5/X5-6-DZ/M008/M008_093.wav,map,导航到中国移动强胜指定专营店,导航到中国移动强胜指定专营店
chinese/dzdm/X5/X5-2-DZ/F006/F006_035.wav,meida,来首我爱他,来首我爱他
chinese/dzdm/X5/X5-2-DZ/F006/F006_218.wav,,在线广播世界-?睾?,在线广播世界-?睾?
chinese/dzdm/X5/X5-5-DZ/M003/M003_111.wav,map,我要去爱辉路和岭南路交叉路口,我要去爱辉路和岭南路交叉路口
chinese/dzdm/X5/X5-4-DZ/F010/F010_106.wav,map,导航到芭蕉坞,导航到芭蕉坞
chinese/dzdm/X5/X5-4-DZ/M002/M002_138.wav,map,带我去爱都路与美桂北路十字路口,带我去爱都路与美桂北路十字路口
chinese/dzdm/X5/X5-7-DZ/M009/M009_064.wav,telephone,打电话给上海绿地豪生全套房酒店,打电话给上海绿地豪生全套房酒店
chinese/dzdm/X5/X5-5-DZ/M005/M005_122.wav,map,公司附近的酒吧,公司附近的酒吧
chinese/dzdm/X5/X5-7-DZ/M009/M009_207.wav,,我想听今晚80后脱口秀2014,我想听今晚80后脱口秀2014
chinese/dzdm/X5/X5-4-DZ/M002/M002_012.wav,radio,听am,听am
chinese/dzdm/X5/X5-1-DZ/F002/F002_117.wav,map,我要去爱德路与灯明路交叉路口,我要去爱德路与灯明路交叉路口
chinese/dzdm/X5/X5-6-DZ/M006/M006_068.wav,telephone,拨打蔡先才,拨打蔡先才
chinese/dzdm/X5/X5-2-DZ/F005/F005_178.wav,wether,最近北海会不会有雨,最近北海会不会有雨
chinese/dzdm/X5/X5-2-DZ/F006/F006_191.wav,new,我想看关于国际新闻的新闻,我想看关于国际新闻的新闻
chinese/dzdm/X5/X5-3-DZ/F007/F007_190.wav,new,给我读今天最新的头条,给我读今天最新的头条
chinese/dzdm/X5/X5-2-DZ/F004/F004_175.wav,wether,星期一六安下雨吗,星期一六安下雨吗
chinese/dzdm/X5/X5-2-DZ/F006/F006_027.wav,meida,打开专辑其实我还好,打开专辑其实我还好
chinese/dzdm/X5/X5-1-DZ/F001/F001_130.wav,map,我想找堡镇大众商场五金经营部,我想找堡镇大众商场五金经营部
chinese/dzdm/X5/X5-6-DZ/M008/M008_129.wav,map,导航到抚顺德泰汽车修配有限公司,导航到抚顺德泰汽车修配有限公司
chinese/dzdm/X5/X5-3-DZ/F007/F007_094.wav,map,到西四环中路的邮局怎么走,到西四环中路的邮局怎么走
chinese/dzdm/X5/X5-5-DZ/M005/M005_071.wav,telephone,我想给王世航打电话,我想给王世航打电话
chinese/dzdm/X5/X5-5-DZ/M005/M005_113.wav,map,给我显示银泰的停车位,给我显示银泰的停车位
chinese/dzdm/X5/X5-1-DZ/F002/F002_002.wav,radio,我要听广播电台,我要听广播电台
chinese/dzdm/X5/X5-6-DZ/M008/M008_145.wav,map,导航到章光幺零幺发生发防脱发广中店,导航到章光幺零幺发生发防脱发广中店
chinese/dzdm/X5/X5-5-DZ/M004/M004_174.wav,wether,明晨泰山的气温如何,明晨泰山的气温如何
chinese/dzdm/X5/X5-3-DZ/F007/F007_222.wav,,打开葫芦娃,打开葫芦娃
chinese/dzdm/X5/X5-6-DZ/M008/M008_001.wav,radio,调到一零七点八,调到一零七点八
chinese/dzdm/X5/X5-2-DZ/F006/F006_042.wav,telephone,打个电话给王世航,打个电话给王世航
chinese/dzdm/X5/X5-5-DZ/M005/M005_024.wav,meida,播放歌曲年轮,播放歌曲年轮
chinese/dzdm/X5/X5-7-DZ/M009/M009_091.wav,map,导航到市场路口,导航到市场路口
chinese/dzdm/X5/X5-1-DZ/F001/F001_179.wav,wether,大后天的天气,大后天的天气
chinese/dzdm/X5/X5-6-DZ/M007/M007_019.wav,radio,调到一百零七点四,调到一百零七点四
chinese/dzdm/X5/X5-5-DZ/M003/M003_092.wav,map,我要去安义路与铜仁路交叉路口,我要去安义路与铜仁路交叉路口
chinese/dzdm/X5/X5-6-DZ/M007/M007_202.wav,help,我能说什么,我能说什么
chinese/dzdm/X5/X5-6-DZ/M007/M007_209.wav,,在线广播今晚80后脱口秀2013,在线广播今晚80后脱口秀2013
chinese/dzdm/X5/X5-6-DZ/M008/M008_030.wav,meida,我想听苏打绿的歌,我想听苏打绿的歌
chinese/dzdm/X5/X5-5-DZ/M003/M003_009.wav,radio,fm九十一点六,fm九十一点六
chinese/dzdm/X5/X5-6-DZ/M007/M007_076.wav,,我想立刻呼叫刘少伟,我想立刻呼叫刘少伟
chinese/dzdm/X5/X5-7-DZ/M010/M010_176.wav,help,有哪些新闻的说法,有哪些新闻的说法
chinese/dzdm/X5/X5-6-DZ/M008/M008_072.wav,telephone,呼叫谢春虎,呼叫谢春虎
chinese/dzdm/X5/X5-3-DZ/F009/F009_012.wav,radio,我想听广播频道五百三十三,我想听广播频道五百三十三
chinese/dzdm/X5/X5-7-DZ/M009/M009_157.wav,traffic,到目的地堵不堵,到目的地堵不堵
chinese/dzdm/X5/X5-2-DZ/F004/F004_111.wav,map,我想找加油站附近的wc,我想找加油站附近的wc
chinese/dzdm/X5/X5-2-DZ/F004/F004_117.wav,map,我想找肯德基附近的厕所,我想找肯德基附近的厕所
chinese/dzdm/X5/X5-3-DZ/F007/F007_058.wav,telephone,接通赵志纯,接通赵志纯
chinese/dzdm/X5/X5-1-DZ/F001/F001_162.wav,traffic,人民北路上堵车吗,人民北路上堵车吗
chinese/dzdm/X5/X5-2-DZ/F005/F005_118.wav,map,给我显示银泰的饭店,给我显示银泰的饭店
chinese/dzdm/X5/X5-2-DZ/F005/F005_142.wav,map,目的地附近的咖啡厅,目的地附近的咖啡厅
chinese/dzdm/X5/X5-6-DZ/M008/M008_152.wav,map,导航到中国人民银行英吉沙县支行,导航到中国人民银行英吉沙县支行
chinese/dzdm/X5/X5-7-DZ/M010/M010_153.wav,traffic,目的地附近的交通情况,目的地附近的交通情况
chinese/dzdm/X5/X5-6-DZ/M008/M008_201.wav,help,有哪些收音机的命令,有哪些收音机的命令
chinese/dzdm/X5/X5-2-DZ/F005/F005_041.wav,meida,打开专辑范特西,打开专辑范特西
chinese/dzdm/X5/X5-5-DZ/M004/M004_027.wav,meida,播放刘德华的回家的路,播放刘德华的回家的路
chinese/dzdm/X5/X5-5-DZ/M003/M003_033.wav,meida,筷子兄弟的奔跑吧兄弟,筷子兄弟的奔跑吧兄弟
chinese/dzdm/X5/X5-1-DZ/F003/F003_127.wav,map,带我去安仁街和人民路交口,带我去安仁街和人民路交口
chinese/dzdm/X5/X5-6-DZ/M006/M006_131.wav,map,我想去黄山路上的必胜客,我想去黄山路上的必胜客
chinese/dzdm/X5/X5-7-DZ/M009/M009_144.wav,map,附近哪个停车场有位置,附近哪个停车场有位置
chinese/dzdm/X5/X5-1-DZ/F001/F001_061.wav,telephone,拨打章继东电话,拨打章继东电话
chinese/dzdm/X5/X5-4-DZ/M001/M001_181.wav,wether,昨天有没有下雨,昨天有没有下雨
chinese/dzdm/X5/X5-7-DZ/M009/M009_188.wav,new,劳动节的新闻,劳动节的新闻
chinese/dzdm/X5/X5-6-DZ/M007/M007_014.wav,radio,调到五三五,调到五三五
chinese/dzdm/X5/X5-4-DZ/M002/M002_035.wav,meida,我想听音乐,我想听音乐
chinese/dzdm/X5/X5-5-DZ/M003/M003_141.wav,map,我想开车去安驰路和于田南路交叉路口,我想开车去安驰路和于田南路交叉路口
chinese/dzdm/X5/X5-3-DZ/F008/F008_184.wav,new,今天有什么头条新闻,今天有什么头条新闻
chinese/dzdm/X5/X5-6-DZ/M008/M008_005.wav,radio,调到am一千零七十一,调到am一千零七十一
chinese/dzdm/X5/X5-6-DZ/M007/M007_026.wav,meida,来一首邓紫棋的歌,来一首邓紫棋的歌
chinese/dzdm/X5/X5-6-DZ/M006/M006_208.wav,cmd,呼叫第六个号码,呼叫第六个号码
chinese/dzdm/X5/X5-1-DZ/F003/F003_198.wav,scheduled_destination,我想检查劳动节的日程,我想检查劳动节的日程
chinese/dzdm/X5/X5-1-DZ/F002/F002_160.wav,traffic,上庄路上向东方向堵吗,上庄路上向东方向堵吗
chinese/dzdm/X5/X5-3-DZ/F008/F008_033.wav,meida,我想听雷佳的歌,我想听雷佳的歌
chinese/dzdm/X5/X5-7-DZ/M010/M010_082.wav,map,导航到东街路口,导航到东街路口
chinese/dzdm/X5/X5-4-DZ/M001/M001_036.wav,meida,请帮我打开媒体源,请帮我打开媒体源
chinese/dzdm/X5/X5-6-DZ/M008/M008_103.wav,map,导航到龙洞路口,导航到龙洞路口
chinese/dzdm/X5/X5-5-DZ/M005/M005_066.wav,telephone,我想给总监打电话,我想给总监打电话
chinese/dzdm/X5/X5-3-DZ/F007/F007_033.wav,meida,来一首王菲的歌,来一首王菲的歌
chinese/dzdm/X5/X5-6-DZ/M008/M008_154.wav,map,导航到指媚美甲,导航到指媚美甲
chinese/dzdm/X5/X5-5-DZ/M004/M004_041.wav,meida,播放歌曲南山南,播放歌曲南山南
chinese/dzdm/X5/X5-4-DZ/F010/F010_006.wav,radio,转到广播频道fm九一六,转到广播频道fm九一六
chinese/dzdm/X5/X5-4-DZ/M002/M002_048.wav,telephone,给李鹏维去电话,给李鹏维去电话
chinese/dzdm/X5/X5-4-DZ/M001/M001_016.wav,radio,听电台,听电台
chinese/dzdm/X5/X5-5-DZ/M005/M005_070.wav,telephone,我想给王婕打电话,我想给王婕打电话
chinese/dzdm/X5/X5-1-DZ/F001/F001_153.wav,map,导航到振业路九十号,导航到振业路九十号
chinese/dzdm/X5/X5-7-DZ/M009/M009_044.wav,telephone,给湖南佳程酒店打电话,给湖南佳程酒店打电话
chinese/dzdm/X5/X5-1-DZ/F001/F001_127.wav,map,我想到中国石化加油站陕西南路,我想到中国石化加油站陕西南路
chinese/dzdm/X5/X5-2-DZ/F004/F004_017.wav,radio,播放广播到fm九幺六,播放广播到fm九幺六
chinese/dzdm/X5/X5-7-DZ/M009/M009_025.wav,meida,我想听专辑出塞曲,我想听专辑出塞曲
chinese/dzdm/X5/X5-6-DZ/M006/M006_132.wav,map,我想去青年路上的银行,我想去青年路上的银行
chinese/dzdm/X5/X5-6-DZ/M008/M008_165.wav,traffic,长春市二道区自由大路和临河街交口的路况,长春市二道区自由大路和临河街交口的路况
chinese/dzdm/X5/X5-3-DZ/F009/F009_136.wav,map,周围的白云大厦万达广场a座,周围的白云大厦万达广场a座
chinese/dzdm/X5/X5-5-DZ/M004/M004_015.wav,radio,播放广播到fm九幺点幺,播放广播到fm九幺点幺
chinese/dzdm/X5/X5-1-DZ/F002/F002_159.wav,traffic,人民路上路况好不好,人民路上路况好不好
chinese/dzdm/X5/X5-3-DZ/F008/F008_201.wav,help,有哪些收音机的命令,有哪些收音机的命令
chinese/dzdm/X5/X5-1-DZ/F001/F001_167.wav,wether,查一下合肥的天气,查一下合肥的天气
chinese/dzdm/X5/X5-2-DZ/F005/F005_203.wav,help,你会干什么,你会干什么
chinese/dzdm/X5/X5-3-DZ/F007/F007_078.wav,telephone,我要显示所有通话,我要显示所有通话
