Â¼Òô,ÒµÎñ,Â¼Òô,±ê×¢
274,map,english/dzdm/X5/X5-20-DZ/M020/M020_178.wav,any museum nearby
275,telephone,english/dzdm/X5/X5-19-DZ/M017/M017_138.wav,call the previous number
276,wether,english/dzdm/X5/X5-19-DZ/M018/M018_049.wav,is there rain in guangzhou on tuesday
277,map,english/dzdm/X5/X5-19-DZ/M017/M017_214.wav,i want to find the palace museum
278,map,english/dzdm/X5/X5-18-DZ/M016/M016_149.wav,any building nearby
279,map,english/dzdm/X5/X5-12-DZ/F013/F013_156.wav,where is the closest first people's hospital affiliated to shanghai jiao tong university
280,wether,english/dzdm/X5/X5-13-DZ/F015/F015_061.wav,i want to know the weather in chongqing september fifteenth
281,wether,english/dzdm/X5/X5-14-DZ/F018/F018_047.wav,is there rain in shanghai on sunday
282,traffic,english/dzdm/X5/X5-19-DZ/M017/M017_021.wav,how's the traffic at the intersection of south fifth road and middle street second alley
283,map,english/dzdm/X5/X5-15-DZ/F020/F020_167.wav,where is the nearest food
284,telephone,english/dzdm/X5/X5-14-DZ/F018/F018_127.wav,i want to check the call log
285,map,english/dzdm/X5/X5-17-DZ/M014/M014_147.wav,navigate to the crossroad of seventh branch road and nanjing road
286,wether,english/dzdm/X5/X5-11-DZ/F011/F011_052.wav,what s the weather like on september fifteenth
287,cmd,english/dzdm/X5/X5-18-DZ/M016/M016_043.wav,dial the fifth number
288,map,english/dzdm/X5/X5-17-DZ/M013/M013_146.wav,navigate to the nearest block d wanda plaza
289,radio,english/dzdm/X5/X5-11-DZ/F011/F011_071.wav,am
290,map,english/dzdm/X5/X5-12-DZ/F014/F014_177.wav,navigate to the crossroad between middle street second alley and third middle alley
291,help,english/dzdm/X5/X5-20-DZ/M020/M020_032.wav,schedule help
292,map,english/dzdm/X5/X5-19-DZ/M018/M018_193.wav,the nearest great wall
293,meida,english/dzdm/X5/X5-11-DZ/F012/F012_087.wav,i want to open usb
294,map,english/dzdm/X5/X5-16-DZ/M011/M011_154.wav,open route guidance
295,meida,english/dzdm/X5/X5-13-DZ/F015/F015_095.wav,are there any songs by linkin park
296,news,english/dzdm/X5/X5-19-DZ/M018/M018_007.wav,i want to check some news about international news
297,traffic,english/dzdm/X5/X5-17-DZ/M013/M013_023.wav,chongqing south street's traffic
298,radio,english/dzdm/X5/X5-17-DZ/M013/M013_070.wav,i would like to hear the radio station fm eight eight
299,meida,english/dzdm/X5/X5-18-DZ/M015/M015_102.wav,moumoon
300,radio,english/dzdm/X5/X5-19-DZ/M018/M018_067.wav,change the radio to am nine nine zero
301,map,english/dzdm/X5/X5-18-DZ/M015/M015_181.wav,i want to drive to the intersection between beijing middle road first alley and middle street second alley
302,scheduled_destination,english/dzdm/X5/X5-18-DZ/M015/M015_002.wav,i want to check schedule on february eleventh
303,telephone,english/dzdm/X5/X5-18-DZ/M016/M016_124.wav,please help me dial the number o four one five two three nine five six four five
304,map,english/dzdm/X5/X5-12-DZ/F013/F013_206.wav,navigate to century avenue longitude first street crossing
305,scheduled_destination,english/dzdm/X5/X5-18-DZ/M015/M015_004.wav,i need to check my schedule on december second
306,map,english/dzdm/X5/X5-14-DZ/F018/F018_156.wav,go to nanjing
307,traffic,english/dzdm/X5/X5-17-DZ/M014/M014_020.wav,suzhou north alley's traffic
308,telephone,english/dzdm/X5/X5-12-DZ/F014/F014_110.wav,give brandon cook a call
309,traffic,english/dzdm/X5/X5-12-DZ/F014/F014_015.wav,chongqing third ring expressway's traffic
310,map,english/dzdm/X5/X5-11-DZ/F012/F012_208.wav,go to the nearest wuhan
311,meida,english/dzdm/X5/X5-12-DZ/F014/F014_086.wav,play song yesterday once more
312,map,english/dzdm/X5/X5-15-DZ/F019/F019_162.wav,where is the accommodation
313,map,english/dzdm/X5/X5-14-DZ/F018/F018_160.wav,go to block d wanda plaza
314,radio,english/dzdm/X5/X5-14-DZ/F018/F018_071.wav,change the radio to fm nine two point four
315,wether,english/dzdm/X5/X5-20-DZ/M020/M020_054.wav,can i wash the car
316,meida,english/dzdm/X5/X5-14-DZ/F017/F017_093.wav,a song by one direction in usb
317,scheduled_destination,english/dzdm/X5/X5-12-DZ/F014/F014_005.wav,i want to check my agenda on may fourteenth
318,telephone,english/dzdm/X5/X5-14-DZ/F017/F017_124.wav,call mohsin's office number starting with one eight two
319,map,english/dzdm/X5/X5-19-DZ/M018/M018_174.wav,i want to drive to china welfare lottery
320,traffic,english/dzdm/X5/X5-19-DZ/M018/M018_020.wav,how's the traffic at the intersection of huangshan north road and huangshan north road
321,news,english/dzdm/X5/X5-19-DZ/M018/M018_010.wav,i want to check some news about social news
322,telephone,english/dzdm/X5/X5-11-DZ/F011/F011_129.wav,dial bruno cell's number
323,radio,english/dzdm/X5/X5-12-DZ/F013/F013_067.wav,i would like to hear am nine seven two
324,traffic,english/dzdm/X5/X5-18-DZ/M016/M016_017.wav,the traffic
325,wether,english/dzdm/X5/X5-13-DZ/F015/F015_050.wav,what s the low temperature in shenyang
326,meida,english/dzdm/X5/X5-16-DZ/M011/M011_095.wav,open bt audio media source
327,telephone,english/dzdm/X5/X5-20-DZ/M019/M019_105.wav,i would like to give robert ja a call
328,traffic,english/dzdm/X5/X5-19-DZ/M018/M018_022.wav,how is the traffic at the intersection of shenzhen middle road and shenzhen middle road
329,traffic,english/dzdm/X5/X5-17-DZ/M014/M014_015.wav,chongqing third ring expressway's traffic
330,traffic,english/dzdm/X5/X5-13-DZ/F016/F016_017.wav,the traffic
331,map,english/dzdm/X5/X5-20-DZ/M020/M020_185.wav,help me locate the position of the nearest quarantine station
332,help,english/dzdm/X5/X5-14-DZ/F017/F017_030.wav,can you tell me how to use the music function
333,cmd,english/dzdm/X5/X5-20-DZ/M019/M019_039.wav,sixth one
334,radio,english/dzdm/X5/X5-13-DZ/F016/F016_073.wav,am nine hundred and eighteen
335,cmd,english/dzdm/X5/X5-20-DZ/M019/M019_040.wav,sixth
336,help,english/dzdm/X5/X5-18-DZ/M016/M016_032.wav,could you show me how to use the function
337,map,english/dzdm/X5/X5-19-DZ/M017/M017_170.wav,show me the honda near home
338,telephone,english/dzdm/X5/X5-20-DZ/M019/M019_117.wav,please dial kayla tuener
339,map,english/dzdm/X5/X5-15-DZ/F019/F019_208.wav,where is the nearest car rental
340,telephone,english/dzdm/X5/X5-15-DZ/F020/F020_131.wav,help me call sohel please
341,telephone,english/dzdm/X5/X5-19-DZ/M018/M018_133.wav,i want to show the call log
342,radio,english/dzdm/X5/X5-11-DZ/F012/F012_072.wav,i want to hear fm nine eight point six
343,meida,english/dzdm/X5/X5-14-DZ/F017/F017_084.wav,play the song bye bye bye by lovestoned or not
344,telephone,english/dzdm/X5/X5-16-DZ/M012/M012_133.wav,dial kevin
345,meida,english/dzdm/X5/X5-13-DZ/F015/F015_089.wav,play shayne ward's song
346,meida,english/dzdm/X5/X5-18-DZ/M016/M016_102.wav,listen to eason's songs in usb source
347,map,english/dzdm/X5/X5-15-DZ/F019/F019_184.wav,i want to grab some coffee near united hotel
348,map,english/dzdm/X5/X5-13-DZ/F015/F015_164.wav,i want to drive to the intersection of west ring road and third middle alley
349,telephone,english/dzdm/X5/X5-15-DZ/F019/F019_137.wav,i want to call mike
350,meida,english/dzdm/X5/X5-18-DZ/M016/M016_091.wav,listen to taylor swift's long live in usb
351,radio,english/dzdm/X5/X5-15-DZ/F019/F019_076.wav,would you mind going to eighty nine point nine
352,cmd,english/dzdm/X5/X5-13-DZ/F016/F016_037.wav,no
353,telephone,english/dzdm/X5/X5-11-DZ/F012/F012_144.wav,please make a phone call to masud target
354,telephone,english/dzdm/X5/X5-17-DZ/M013/M013_118.wav,make a phone call to sam
355,scheduled_destination,english/dzdm/X5/X5-14-DZ/F018/F018_003.wav,i want to check my agenda on thursday
356,wether,english/dzdm/X5/X5-17-DZ/M014/M014_056.wav,is it raining in shenyang
357,radio,english/dzdm/X5/X5-16-DZ/M012/M012_072.wav,i want to hear fm nine eight point six
358,radio,english/dzdm/X5/X5-12-DZ/F014/F014_073.wav,i wanna to hear fm eighty eight point seven
359,map,english/dzdm/X5/X5-20-DZ/M020/M020_207.wav,historical sites nearby
360,telephone,english/dzdm/X5/X5-20-DZ/M019/M019_120.wav,dial brianna bell
361,map,english/dzdm/X5/X5-12-DZ/F014/F014_165.wav,navigate to the intersection between suzhou bridge and chengdu avenue
362,map,english/dzdm/X5/X5-17-DZ/M013/M013_201.wav,i want to go to the number eight eight seven six on the forest street
363,help,english/dzdm/X5/X5-13-DZ/F015/F015_026.wav,can you show me how to use the radio
364,traffic,english/dzdm/X5/X5-16-DZ/M011/M011_017.wav,how is the traffic around destination
365,telephone,english/dzdm/X5/X5-14-DZ/F017/F017_106.wav,please ring the number one four seven eight five zero three one zero eight eight
366,map,english/dzdm/X5/X5-20-DZ/M019/M019_196.wav,help me locate the position of the nearest historical sites
367,map,english/dzdm/X5/X5-13-DZ/F016/F016_203.wav,i want to find a w c near china testing institute of electronic products
368,help,english/dzdm/X5/X5-17-DZ/M013/M013_032.wav,can you tell me how to use the function
369,map,english/dzdm/X5/X5-12-DZ/F014/F014_169.wav,navigate to the crossroad between suzhou bridge and chengdu avenue
370,radio,english/dzdm/X5/X5-12-DZ/F013/F013_075.wav,i would like to listen to the radio station am six nine three
371,map,english/dzdm/X5/X5-18-DZ/M016/M016_203.wav,i want to find a wc near china testing institute of electronic products
372,telephone,english/dzdm/X5/X5-14-DZ/F018/F018_133.wav,i want to show the call log
373,map,english/dzdm/X5/X5-16-DZ/M011/M011_162.wav,start to navigate
374,wether,english/dzdm/X5/X5-12-DZ/F013/F013_056.wav,what s the weather like in tianjin now
375,meida,english/dzdm/X5/X5-13-DZ/F015/F015_102.wav,moumoon
376,telephone,english/dzdm/X5/X5-19-DZ/M017/M017_140.wav,ring the previous number
377,news,english/dzdm/X5/X5-12-DZ/F014/F014_014.wav,i want to check some entertainment news
378,map,english/dzdm/X5/X5-11-DZ/F012/F012_145.wav,navigate to vienna international hotel parking lot entrance and exit
379,telephone,english/dzdm/X5/X5-14-DZ/F018/F018_134.wav,show the call log
380,telephone,english/dzdm/X5/X5-17-DZ/M014/M014_117.wav,help me to make a phone call to jordan owen
381,cmd,english/dzdm/X5/X5-18-DZ/M016/M016_034.wav,sure
382,scheduled_destination,english/dzdm/X5/X5-18-DZ/M016/M016_001.wav,i need to check my agenda on september fifteenth
383,map,english/dzdm/X5/X5-19-DZ/M018/M018_176.wav,i want to drive to north china photo electric
384,traffic,english/dzdm/X5/X5-14-DZ/F017/F017_018.wav,how is the traffic at the intersection of suzhou north alley and suzhou north alley
385,traffic,english/dzdm/X5/X5-14-DZ/F017/F017_023.wav,how is the traffic at the intersection of beijing ring road and tianjin north road east first alley
386,cmd,english/dzdm/X5/X5-18-DZ/M016/M016_035.wav,confirm
387,traffic,english/dzdm/X5/X5-16-DZ/M011/M011_023.wav,is there a traffic jam on area one main fourth road
388,scheduled_destination,english/dzdm/X5/X5-15-DZ/F020/F020_004.wav,i need to check schedule on thursday
389,telephone,english/dzdm/X5/X5-14-DZ/F018/F018_125.wav,i want to check the call history
390,wether,english/dzdm/X5/X5-20-DZ/M019/M019_060.wav,what s the weather like in peking on saturday
391,telephone,english/dzdm/X5/X5-14-DZ/F018/F018_105.wav,i want to redial the last call
392,map,english/dzdm/X5/X5-13-DZ/F016/F016_149.wav,any building nearby
393,telephone,english/dzdm/X5/X5-15-DZ/F020/F020_117.wav,help me to make a call to noah james
394,traffic,english/dzdm/X5/X5-17-DZ/M013/M013_017.wav,first middle road's traffic
395,radio,english/dzdm/X5/X5-17-DZ/M013/M013_071.wav,i would like to hear fm one hundred and six point four
396,map,english/dzdm/X5/X5-17-DZ/M014/M014_156.wav,navigate to the intersection between south fifth road and middle street second alley
397,map,english/dzdm/X5/X5-15-DZ/F019/F019_165.wav,where is the art gallery
398,news,english/dzdm/X5/X5-11-DZ/F012/F012_011.wav,i want to view some comprehensive news
399,telephone,english/dzdm/X5/X5-14-DZ/F017/F017_112.wav,i wanna call one five three nine seven three eight four three three four
400,telephone,english/dzdm/X5/X5-19-DZ/M017/M017_121.wav,call matin new's residence number starting with one five eight
401,map,english/dzdm/X5/X5-13-DZ/F016/F016_179.wav,tell me where is the nearest parking lot
402,map,english/dzdm/X5/X5-18-DZ/M016/M016_196.wav,cctv nearby
403,map,english/dzdm/X5/X5-13-DZ/F015/F015_199.wav,i want to go back to office
404,map,english/dzdm/X5/X5-11-DZ/F011/F011_190.wav,go to youth road
405,radio,english/dzdm/X5/X5-12-DZ/F014/F014_076.wav,i wanna to listen to the radio station am seven hundred and two
406,radio,english/dzdm/X5/X5-15-DZ/F020/F020_079.wav,previous station
407,cmd,english/dzdm/X5/X5-16-DZ/M012/M012_041.wav,select the fourth one
408,map,english/dzdm/X5/X5-17-DZ/M013/M013_186.wav,i want to go to shopping mall north street two
409,help,english/dzdm/X5/X5-18-DZ/M016/M016_030.wav,could you show me how to use the agenda
410,map,english/dzdm/X5/X5-13-DZ/F015/F015_200.wav,i want to go to office
411,telephone,english/dzdm/X5/X5-14-DZ/F018/F018_128.wav,check the call log
412,telephone,english/dzdm/X5/X5-17-DZ/M014/M014_144.wav,could you call miles
413,traffic,english/dzdm/X5/X5-11-DZ/F011/F011_022.wav,is there a traffic jam on area one main second road
414,map,english/dzdm/X5/X5-16-DZ/M011/M011_192.wav,how do i go to embassy of the united states in china
415,telephone,english/dzdm/X5/X5-12-DZ/F014/F014_144.wav,could you call miles
416,map,english/dzdm/X5/X5-20-DZ/M019/M019_161.wav,where is the quarantine station
417,help,english/dzdm/X5/X5-16-DZ/M011/M011_033.wav,instructions for media
418,cmd,english/dzdm/X5/X5-20-DZ/M019/M019_043.wav,last
419,map,english/dzdm/X5/X5-17-DZ/M013/M013_154.wav,where is the nearest national stadium
420,map,english/dzdm/X5/X5-16-DZ/M011/M011_208.wav,take me to phoenix western restaurant
421,traffic,english/dzdm/X5/X5-20-DZ/M020/M020_017.wav,how is the traffic at the intersection of nanjing road and chengdu avenue
422,telephone,english/dzdm/X5/X5-13-DZ/F016/F016_133.wav,please help me call the number one three eight five two six six five nine one nine
423,map,english/dzdm/X5/X5-19-DZ/M018/M018_154.wav,go to hangzhou
424,map,english/dzdm/X5/X5-13-DZ/F015/F015_188.wav,navigate to my home
425,map,english/dzdm/X5/X5-16-DZ/M011/M011_193.wav,how do i go to embassy of the united states in china visa office
426,meida,english/dzdm/X5/X5-18-DZ/M015/M015_088.wav,play katy perry's song
427,meida,english/dzdm/X5/X5-12-DZ/F014/F014_096.wav,i want to listen to idina menzel's song
428,telephone,english/dzdm/X5/X5-18-DZ/M016/M016_139.wav,please call one three one four four three three nine three nine four
429,telephone,english/dzdm/X5/X5-15-DZ/F020/F020_144.wav,i wanna call elijah leslie right now
430,wether,english/dzdm/X5/X5-11-DZ/F012/F012_051.wav,what s the temperature
431,radio,english/dzdm/X5/X5-18-DZ/M016/M016_075.wav,am nine hundred and thirty six
432,meida,english/dzdm/X5/X5-19-DZ/M017/M017_098.wav,open the album you raise me up in usb
433,map,english/dzdm/X5/X5-17-DZ/M013/M013_211.wav,navigate to the intersection between beijing middle road and shanghai road
434,wether,english/dzdm/X5/X5-11-DZ/F012/F012_055.wav,how should i dress on may fourteenth
435,map,english/dzdm/X5/X5-16-DZ/M012/M012_157.wav,i want to find electron qiu chang road community residents' committee
436,telephone,english/dzdm/X5/X5-14-DZ/F018/F018_110.wav,check the missed calls
437,help,english/dzdm/X5/X5-17-DZ/M013/M013_025.wav,instructions about navigation
438,map,english/dzdm/X5/X5-15-DZ/F020/F020_191.wav,tell me which is the nearest bank
439,map,english/dzdm/X5/X5-12-DZ/F013/F013_208.wav,go to intersection
440,telephone,english/dzdm/X5/X5-16-DZ/M012/M012_105.wav,please call fabio china
441,cmd,english/dzdm/X5/X5-17-DZ/M014/M014_034.wav,the third line
442,map,english/dzdm/X5/X5-17-DZ/M014/M014_174.wav,navigate to the intersection of suzhou north alley and beijing middle road first alley
443,meida,english/dzdm/X5/X5-18-DZ/M016/M016_088.wav,play michael jackson's you are not alone
444,map,english/dzdm/X5/X5-17-DZ/M013/M013_158.wav,where is the closest yan lord town southeast southwest gate
445,meida,english/dzdm/X5/X5-17-DZ/M014/M014_096.wav,i want to listen to idina menzel's song
446,news,english/dzdm/X5/X5-15-DZ/F020/F020_012.wav,what s new in today's technology news
447,map,english/dzdm/X5/X5-18-DZ/M016/M016_176.wav,the nearest park
448,telephone,english/dzdm/X5/X5-19-DZ/M018/M018_117.wav,i want to show the dialed calls
449,news,english/dzdm/X5/X5-20-DZ/M020/M020_012.wav,what s new in today's technology news
450,map,english/dzdm/X5/X5-18-DZ/M015/M015_192.wav,go to company
451,telephone,english/dzdm/X5/X5-17-DZ/M013/M013_141.wav,give robert a call back
452,radio,english/dzdm/X5/X5-15-DZ/F020/F020_076.wav,frequency seven zero two
453,map,english/dzdm/X5/X5-20-DZ/M019/M019_164.wav,where is the amusement park
454,map,english/dzdm/X5/X5-12-DZ/F013/F013_184.wav,i want to go to beijing station east street one
455,map,english/dzdm/X5/X5-12-DZ/F013/F013_199.wav,destination is north west alley thirteen
456,traffic,english/dzdm/X5/X5-18-DZ/M015/M015_019.wav,check the traffic around my way home
457,map,english/dzdm/X5/X5-20-DZ/M020/M020_217.wav,i want to get some food near yangzhou restaurant
458,map,english/dzdm/X5/X5-16-DZ/M011/M011_160.wav,i want navigate to
459,telephone,english/dzdm/X5/X5-20-DZ/M019/M019_118.wav,please dial jessica williams
460,radio,english/dzdm/X5/X5-20-DZ/M019/M019_075.wav,would you mind going to one zero three point seven
461,telephone,english/dzdm/X5/X5-18-DZ/M015/M015_134.wav,i wanna call felton right now
462,meida,english/dzdm/X5/X5-18-DZ/M015/M015_098.wav,are there any songs by jay chou in usb
463,wether,english/dzdm/X5/X5-13-DZ/F016/F016_059.wav,what is the weather like in peking
464,map,english/dzdm/X5/X5-17-DZ/M013/M013_204.wav,navigate to latitude second road administration west street longitude fourth stree
465,meida,english/dzdm/X5/X5-13-DZ/F015/F015_101.wav,are there any songs by jacky cheung
466,radio,english/dzdm/X5/X5-19-DZ/M017/M017_071.wav,play the radio to am six hundred and seventy five
467,map,english/dzdm/X5/X5-17-DZ/M013/M013_172.wav,navigate to shanghai road three thousand and one
468,map,english/dzdm/X5/X5-12-DZ/F013/F013_209.wav,drive to intersection
469,cmd,english/dzdm/X5/X5-13-DZ/F015/F015_041.wav,choose the sixth line
470,map,english/dzdm/X5/X5-15-DZ/F020/F020_168.wav,where is the nearest gas station
471,telephone,english/dzdm/X5/X5-19-DZ/M018/M018_115.wav,i want to show the missed calls
472,wether,english/dzdm/X5/X5-18-DZ/M016/M016_059.wav,what is the weather like in peking
473,wether,english/dzdm/X5/X5-18-DZ/M015/M015_047.wav,what s the high temperature in wuhan
474,map,english/dzdm/X5/X5-20-DZ/M020/M020_156.wav,help me locate the position of the nearest library
475,meida,english/dzdm/X5/X5-19-DZ/M017/M017_096.wav,a song by avril lavigne
476,map,english/dzdm/X5/X5-18-DZ/M015/M015_147.wav,drive me to the intersection of south fifth road and chengdu avenue
477,traffic,english/dzdm/X5/X5-18-DZ/M015/M015_020.wav,show me the traffic on my trip to xi an
478,telephone,english/dzdm/X5/X5-12-DZ/F014/F014_139.wav,could you call steven for me
479,telephone,english/dzdm/X5/X5-14-DZ/F017/F017_114.wav,call luisa's number starting with one eight nine
480,map,english/dzdm/X5/X5-12-DZ/F013/F013_194.wav,destination is west ring road south ten
481,map,english/dzdm/X5/X5-14-DZ/F017/F017_209.wav,help me navigate to panda pet house
482,telephone,english/dzdm/X5/X5-19-DZ/M018/M018_144.wav,i would like to give james green a call
483,map,english/dzdm/X5/X5-18-DZ/M015/M015_190.wav,navigate to my company
484,help,english/dzdm/X5/X5-16-DZ/M011/M011_032.wav,how to use the function
485,map,english/dzdm/X5/X5-18-DZ/M015/M015_166.wav,navigate to the intersection between wuhan road east section and beijing lady's street
486,map,english/dzdm/X5/X5-20-DZ/M019/M019_202.wav,any electronics store nearby
487,radio,english/dzdm/X5/X5-18-DZ/M015/M015_083.wav,turn on the radio station am nine hundred and eighteen
488,telephone,english/dzdm/X5/X5-17-DZ/M013/M013_106.wav,please make a phone call to matin new
489,scheduled_destination,english/dzdm/X5/X5-13-DZ/F016/F016_005.wav,i need to check my agenda on may fourteenth
490,meida,english/dzdm/X5/X5-11-DZ/F011/F011_094.wav,open bt audio media source please
491,meida,english/dzdm/X5/X5-13-DZ/F016/F016_090.wav,listen to the cranberries's dying in the sun in usb
492,map,english/dzdm/X5/X5-17-DZ/M014/M014_192.wav,i want to go to the intersection between shenzhen street and chongqing south street
493,wether,english/dzdm/X5/X5-20-DZ/M019/M019_052.wav,what s the weather like in beijing on march eighteenth
494,map,english/dzdm/X5/X5-13-DZ/F016/F016_154.wav,any convenience store nearby
495,help,english/dzdm/X5/X5-16-DZ/M011/M011_024.wav,how to use the telephone
496,map,english/dzdm/X5/X5-16-DZ/M011/M011_151.wav,start the route guidance
497,map,english/dzdm/X5/X5-19-DZ/M017/M017_193.wav,how do i go to seven star
498,traffic,english/dzdm/X5/X5-15-DZ/F019/F019_018.wav,how is the traffic at the intersection of twelfth road and tianjin avenue
499,map,english/dzdm/X5/X5-19-DZ/M017/M017_155.wav,i want to find the prada along the route
500,radio,english/dzdm/X5/X5-13-DZ/F015/F015_074.wav,tune into am six eight four
501,telephone,english/dzdm/X5/X5-14-DZ/F018/F018_106.wav,open the call list
502,telephone,english/dzdm/X5/X5-20-DZ/M019/M019_129.wav,please make a call to amanda giles
503,scheduled_destination,english/dzdm/X5/X5-12-DZ/F013/F013_001.wav,i want to check agenda on spring festival
504,help,english/dzdm/X5/X5-20-DZ/M019/M019_025.wav,could you tell me how to use the voice
505,wether,english/dzdm/X5/X5-11-DZ/F012/F012_058.wav,how should i dress on february eleventh
506,wether,english/dzdm/X5/X5-19-DZ/M017/M017_057.wav,should i carry an umbrella
507,meida,english/dzdm/X5/X5-19-DZ/M018/M018_094.wav,i want to hear the live session in usb
508,news,english/dzdm/X5/X5-19-DZ/M018/M018_012.wav,i want to check some news about politics news
509,wether,english/dzdm/X5/X5-14-DZ/F018/F018_062.wav,what s the weather like in chengdu next week
510,scheduled_destination,english/dzdm/X5/X5-13-DZ/F015/F015_003.wav,i want to check my agenda on january ninth
511,telephone,english/dzdm/X5/X5-11-DZ/F012/F012_137.wav,dial lisa
512,help,english/dzdm/X5/X5-19-DZ/M018/M018_025.wav,can you tell me how to use the radio
513,telephone,english/dzdm/X5/X5-19-DZ/M018/M018_124.wav,check the call records
514,news,english/dzdm/X5/X5-13-DZ/F015/F015_012.wav,i want to read some news about sports news
515,radio,english/dzdm/X5/X5-20-DZ/M019/M019_072.wav,would you mind going to fm ninety three
516,news,english/dzdm/X5/X5-11-DZ/F012/F012_007.wav,i want to read some politics news
517,wether,english/dzdm/X5/X5-13-DZ/F015/F015_058.wav,what s the temperature in chengdu now
518,map,english/dzdm/X5/X5-14-DZ/F017/F017_180.wav,hangzhou
519,meida,english/dzdm/X5/X5-13-DZ/F016/F016_095.wav,listen to miley cyrus's wreckingball
520,news,english/dzdm/X5/X5-14-DZ/F017/F017_013.wav,i want to check some news about comprehensive news
521,traffic,english/dzdm/X5/X5-19-DZ/M017/M017_022.wav,how's the traffic at the intersection of beijing road and third middle alley
522,telephone,english/dzdm/X5/X5-14-DZ/F017/F017_109.wav,i would also like to call one eight six one one eight five three three nine six
523,telephone,english/dzdm/X5/X5-16-DZ/M012/M012_109.wav,call fedex
524,telephone,english/dzdm/X5/X5-16-DZ/M011/M011_138.wav,i would like to give danny a call
525,map,english/dzdm/X5/X5-16-DZ/M011/M011_186.wav,i want to go to beijing friendship store parking lot
526,radio,english/dzdm/X5/X5-18-DZ/M016/M016_067.wav,turn on the radio station fm nine nine point six
527,wether,english/dzdm/X5/X5-19-DZ/M018/M018_045.wav,is there rain in nanjing next week
528,telephone,english/dzdm/X5/X5-12-DZ/F013/F013_132.wav,i want to call zoey
529,help,english/dzdm/X5/X5-11-DZ/F012/F012_027.wav,instructions for music
530,map,english/dzdm/X5/X5-13-DZ/F015/F015_178.wav,drive me to the intersection between suzhou north alley and beijing middle road first alley
531,wether,english/dzdm/X5/X5-15-DZ/F020/F020_058.wav,what is the pm two point five index in the next few days
532,map,english/dzdm/X5/X5-16-DZ/M011/M011_149.wav,start the navigation
533,map,english/dzdm/X5/X5-11-DZ/F012/F012_196.wav,take me to the nearest northwest flavor snack
534,map,english/dzdm/X5/X5-18-DZ/M015/M015_176.wav,i want to drive to the intersection of shenzhen street and chongqing south street
535,map,english/dzdm/X5/X5-13-DZ/F016/F016_191.wav,where is the kfc
536,radio,english/dzdm/X5/X5-15-DZ/F020/F020_082.wav,change the fm
